BOTTLE,20250201CCHHYDRO
#BOTTLE,20250131CCHSIOCBG
#merged parameters SF6, CFC-12, CFC-11, CFC113, N2O
#
#For information on how to cite this dataset, please visit cchdo.ucsd.edu
#ship: R/V Thomas G. Thompson (3250)
#dates: 2024-02-21/04-01
#cruise: [I08S]
#chief scientist: [Sebastien Bigorre]
#co-chief scientist: [Katelyn Schockman]
#float deployments:
#  - [Sta,   WMO_ID,    Lat,           Lon,           Date]
#  - [UNDERWAY,     1902650,   -54.9377,    87.3453,    2024-03-01]
#  - [UNDERWAY,     4903482,   -42.9951,    102.9963,   2024-02-24]
#  - [UNDERWAY,     1902524,   -45.5045,    98.4743,    2024-02-26]
#  - [UNDERWAY,     1902523,   -47.9769,    92.4250,    2024-02-28]
#  - [UNDERWAY,     3902256,   -50.2759,    90.6304,    2024-02-29]
#  - [11,     5907052,   -64.4715,    80.0367,    2024-03-06]
#  - [24,     5904387,   -57.6090,    82.3885,    2024-03-11]
#  - [25,     2903870,   -56.4889,    83.7763,    2024-03-12]
#  - [33,     2903871,   -53.5119,    87.0408,    2024-03-16]
#  - [34,     12072,   -52.1043,    88.4664,    2024-03-17]
#  - [36,     2903865,   -49.2683,    91.2690,    2024-03-18]
#  - [40,     3902255,   -46.4995,    93.7096,    2024-03-20]
#  - [41,     2903864,   -45.8455,    94.2863,    2024-03-20]
#  - [52,     4903751,   -39.9777,    94.9948,    2024-03-23]
#  - [66,     3902257,   -28.3250,    95.0267,    2024-03-28]
#
#programs:
#  CTD:
#      who: [Susan Becker, Todd Martz]
#      includes: [CTDPRS, CTDTMP, CTDSAL, CTDOXY, REFTMP]
#      status: final
#      notes: >
#  Salinity:
#      who: [Susan Becker, Todd Martz]
#      includes: [SALNTY]
#      status: final
#      notes: >
#  Nutrients:
#      who: [Susan Becker, Todd Martz]
#      includes: [SILCAT, NITRAT, NITRIT, PHSPHT]
#      status: final
#      notes: >
#  O2:
#      who: [Susan Becker, Todd Martz]
#      includes: [OXYGEN]
#      status: final
#      notes: >
#  Tracers:
#      who: [Jim Happell]
#      includes: [CFC-11, CFC-12, SF6, N2O, CFC113]
#      status: final
#      notes: >
#  DIC:
#      who: [Richard Feely, Rik Wanninkhof]
#      includes: [TCARBN]
#      status: preliminary
#      notes: > Due to calibration problems with both DIC instruments on board I08S_2024, all shipboard data distributed should be considered *very* preliminary. These values will change and have been flagged "QC 3" for this initial release. J. Herndon
#  Talk:
#      who: [Andrew Dickson]
#      includes: [ALKALI]
#      status: preliminary
#      notes: >
#  pH:
#      who: [Andrew Dickson]
#      includes: [PH_TOT, PH_TMP]
#      status: preliminary
#      notes: >
#  DOC:
#      who: [Craig Carlson]
#      includes: [DOC, TDN]
#      status: collected
#      notes: >
#  HPLC:
#      who: [Adam Martiny]
#      includes: [HPLC]
#      status: collected
#      notes: >
#  POC:
#      who: [Adam Martiny]
#      includes: [POC]
#      status: collected
#      notes: >
#  Bio-GO-SHIP:
#      who: [Adam Martiny]
#      includes: [DNA, DOP, PON, POP, FCM, PCOD]
#      status: collected
#      notes: >
#  Nobel Gases:
#      who: [Alan Seltzer]
#      includes: [ARGON, XENON, KRYPTON]
#      status: collected
#      notes: >
#  Lowered ADCP:
#      who: [Andreas Thurnherr]
#      status: collected
#      notes: >
#  Shipboard ADCP:
#      who: [Julia Hummon]
#      status: collected
#      notes: >
#  Underway pCO2:
#      who: [Simone Alin]
#      status: collected
#      notes: >
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NH4,NH4_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,POC,POC_FLAG_W,PON,PON_FLAG_W,POP,POP_FLAG_W,PCOD,PCOD_FLAG_W,DOP,DOP_FLAG_W,TDN,TDN_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,N2O,N2O_FLAG_W,ARGON,ARGON_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,KRYPTON,KRYPTON_FLAG_W,XENON,XENON_FLAG_W,HPLC,HPLC_FLAG_W,DNA,DNA_FLAG_W,FCM,FCM_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UMOL/KG,,ITS-90,,/MILLE,,/MILLE,UG/KG,,UG/KG,,UG/L,,UG/L,,UMOL/KG,,UMOL/KG,,VOLTS,,VOLTS,,NMOL/KG,,UMOL/L,,,,,,NMOL/L,,NMOL/L,,,,,,,
325020240221  ,I08        ,1       ,  1,35         ,35         ,2,20240304,0124, -67.1141,  76.6639,     -999,      1.0,  -0.4591,  33.9798,2,     -999,9,    334.9,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,1,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0458,1,   4.4892,1,     -999,9,     -999,9,20240304,0155, -67.1141,  76.6639,     -999,9,     -999,9,-999          ,9,-999          ,9,-999          ,9
325020240221  ,I08        ,1       ,  1,34         ,34         ,2,20240304,0124, -67.1141,  76.6639,     -999,      1.1,  -0.4584,  33.9797,2,     -999,9,    335.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,1,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0464,1,   4.4891,1,     -999,9,     -999,9,20240304,0155, -67.1141,  76.6639,     -999,9,     -999,9,-999          ,9,-999          ,9,-999          ,9
325020240221  ,I08        ,1       ,  1,18         ,18         ,2,20240304,0124, -67.1141,  76.6639,     -999,      1.3,  -0.4581,  33.9798,2,     -999,9,    334.9,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,1,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0488,1,   4.4916,1,     -999,9,     -999,9,20240304,0153, -67.1141,  76.6639,     -999,9,     -999,9,-999          ,9,-999          ,9,-999          ,9
325020240221  ,I08        ,1       ,  1,23         ,23         ,2,20240304,0124, -67.1141,  76.6639,     -999,      1.4,  -0.4581,  33.9796,2,     -999,9,    334.9,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,1,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0469,1,   4.4909,1,     -999,9,     -999,9,20240304,0154, -67.1141,  76.6639,     -999,9,     -999,9,-999          ,9,-999          ,9,-999          ,9
325020240221  ,I08        ,1       ,  1,30         ,30         ,2,20240304,0124, -67.1141,  76.6639,     -999,      1.4,  -0.4583,  33.9796,2,     -999,9,    334.9,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,1,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0464,1,   4.4883,1,     -999,9,     -999,9,20240304,0154, -67.1141,  76.6639,     -999,9,     -999,9,-999          ,9,-999          ,9,-999          ,9
325020240221  ,I08        ,1       ,  1,27         ,27         ,2,20240304,0124, -67.1141,  76.6639,     -999,      1.5,  -0.4582,  33.9795,2,     -999,9,    334.9,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,1,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0458,1,   4.4907,1,     -999,9,     -999,9,20240304,0154, -67.1141,  76.6639,     -999,9,     -999,9,-999          ,9,-999          ,9,-999          ,9
325020240221  ,I08        ,1       ,  1,20         ,20         ,2,20240304,0124, -67.1141,  76.6639,     -999,      1.5,  -0.4584,  33.9797,2,     -999,9,    335.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,1,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0495,1,   4.4911,1,     -999,9,     -999,9,20240304,0153, -67.1141,  76.6639,     -999,9,     -999,9,-999          ,9,-999          ,9,-999          ,9
325020240221  ,I08        ,1       ,  1,15         ,15         ,2,20240304,0124, -67.1141,  76.6639,     -999,      1.5,  -0.4564,  33.9795,2,  33.9778,2,    334.8,2,    335.4,2,    46.53,2,     2.12,2,    23.11,2,     0.16,2,     1.66,2,    5.326,2,    2.781,2,    0.479,2,   4.7040,2,   2186.5,3,   2305.3,2,   7.6795,2,    25.04,     -999,1,  -0.4571,2,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,1,   0.0466,1,   4.4921,1,     11.9,2,     -999,9,20240304,0152, -67.1141,  76.6639,     -999,9,     -999,9,-999          ,9,-999          ,9,-999          ,9
325020240221  ,I08        ,1       ,  1,19         ,19         ,2,20240304,0124, -67.1141,  76.6639,     -999,      1.6,  -0.4583,  33.9796,2,     -999,9,    334.8,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,  -0.4587,2,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0485,1,   4.4918,1,     -999,9,     -999,9,20240304,0153, -67.1141,  76.6639,     -999,9,     -999,9,-999          ,9,-999          ,9,-999          ,9
