BOTTLE,20240601CCHHYDRO
#For more information on how to cite, please visit cchdo.ucsd.edu.
#
#2024-05-31 merged parameters:
# DELC13, DELC13_FLAG_W
# TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W, PH_TOT, PH_TOT_FLAG_W, PH_TMP, FCO2, FCO2_FLAG_W
# DOC, DOC_FLAG_W, TDN, TDN_FLAG_W
#BOTTLE,20231028CCHHYDRO
# merged parameters ALKALI, PH_TOT, PH_TOT_FLAG_W, PH_TMP
#cruise: [A16N]
#chief scientist: [Zachary Erickson]
#co-chief scientist: [Katelyn Schockmann]
#float deployments:
#Core Argo floats:
# - Serial  Lat (°N) Lon (°W) Date and Time(GMT)
# - 7792 -7.00 29.18 2023-03-07 22:30 
# - 7712 11.00 29.00 2023-03-21 19:52
# - 7791 23.02 27.35 2023-03-28 21:21
# - 7804 27.52 24.78 2023-03-31 18:42
#GO-BGC floats:
# - Serial  WMO Lat (°N) Lon (°W) Date and Time(GMT) Station 
# - 1475 4903489 -4.48 25.00 2023-03-10 18:18 4 
# - 1356 4903486 4.52 25.75 2023-03-17 19:58 28 
# - 1361 4903487 24.52 26.47 2023-03-29 20:37 68 
#SVP Drifter deployments:
# - Serial  Lat (°N) Lon (°W) Date and Time(GMT) Station 
# - 61594030 -6.43 26.80 2023-03-08 12:04 N/A 
# - 61458810 6.97 26.99 2023-03-19 06:10 33 
# - 61458820 11.01 29.00 2023-03-21 19:59 41 
# - 61458850 15.01 29.01 2023-03-24 05:54 49 
# - 61595080 18.02 29.00 2023-03-25 22:35 55 
#PRELIMINARY STATEMENT: >
#  Some of the data in these files are preliminary, and are subject to final 
#  calibration and processing. Users should maintain caution in their 
#  interpretation and use. See header comments within the file for more information.
#programs:
#  CTD:
#      who: [Zachary Erickson, Rick Lumpkin]
#      status: preliminary
#      notes: >
#  Salinity:
#      who: [Zachary Erickson, Rick Lumpkin]
#      status: preliminary
#      notes: >
#  Nutrients:
#      who: [Calvin Mordy, Jia-Zhong Zhang]
#      status: preliminary
#      notes: >
#  O2:
#      who: [Chris Langdon]
#      status: preliminary
#      notes: >
#  Tracers:
#      who: [Rolf Sonnerup]
#      status: preliminary
#      notes: >
#  DIC:
#      who: [Richard Feely, Rik Wanninkhof]
#      status: final
#      notes: >
#  Talk:
#      who: [Chris Langdon]
#      includes: [ALKALI]
#      status: final
#      notes: >
#  pH:
#      who: [Chris Langdon]
#      includes: [PH_TOT, PH_TMP]
#      status: final
#      notes: >
#  DOC:
#      who: [Dennis Hansell ]
#      status: final
#      notes: >
#  Bio:
#      who: [Harriet Alexander, Sophie Clayton, Jason Graff, Adam Martiny, Nicole Poulton, Luke Thompson]
#      status: preliminary
#      notes: >
#  Lowered ADCP:
#      who: [Andreas Thurnherr]
#      status: preliminary
#      notes: >
#  Shipboard ADCP:
#      who: [Jules Hummon, Eric Firing]
#      status: preliminary
#      notes: >
#  Underway pCO2:
#      who: [Denis Pierrot, Rik Wanninkhof]
#      status: preliminary
#      notes: >
#  FCO2 (discrete):
#      who: [Rik Wanninkhof]
#      status: final
#      notes: >
#  DELC13:
#      who: [Wei-Jun Cai]
#      status: final 
#      notes: >
#  DELC14:
#      who: [Rolf Sonnerup, Roberta Hansman]
#      status: preliminary 
#      notes: >
#  Sargassum:
#      who: [Dennis McGillicuddy]
#      status: preliminary 
#      notes: >
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,DELC13,DELC13_FLAG_W,TDN,TDN_FLAG_W,N2O,N2O_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,,,DEG C,UMOL/KG,,/MILLE,,UMOL/KG,,NMOL/KG,,,
33RO20230306  ,A16N       ,1       ,  2,10224      ,124        ,20230309,0929,  -5.9988, -24.9996,     5807,      5.4,  28.5339,  35.7764,3,  35.7782,2,    190.5,3,    197.4,2,     0.90,2,     0.00,2,     0.00,2,     0.10,2,    1.371,2,    0.890,2,   1.6136,2,   2028.3,6,   2347.1,2,    314.0,2,       20,   8.0505,2,       25,    69.84,2,      1.3,6,     5.55,2,      5.9,2,20230309,1153
33RO20230306  ,A16N       ,1       ,  2,10223      ,123        ,20230309,0929,  -5.9988, -24.9996,     5807,     20.6,  28.5134,  35.7763,3,  35.7797,2,    190.7,3,    196.7,2,     0.90,2,     0.00,2,     0.01,2,     0.11,2,    1.244,2,    0.804,2,   1.4973,2,   2028.4,2,   2347.6,2,    314.9,2,       20,   8.0490,2,       25,    69.51,2,      1.4,2,     4.60,2,      5.4,2,20230309,1150
33RO20230306  ,A16N       ,1       ,  2,10222      ,122        ,20230309,0929,  -5.9988, -24.9996,     5807,     40.2,  28.3952,  35.7797,3,  35.8473,2,    190.6,3,    195.9,2,     0.90,2,     0.00,2,     0.00,2,     0.11,2,    1.375,2,    0.895,2,   1.7511,2,   2032.3,2,   2355.2,2,    317.1,2,       20,   8.2380,4,       25,    67.78,2,      1.3,2,     5.46,2,      5.9,2,20230309,1147
33RO20230306  ,A16N       ,1       ,  2,10221      ,121        ,20230309,0929,  -5.9988, -24.9996,     5807,     60.1,  26.8449,  36.4528,3,  36.4565,2,    199.2,3,    204.7,2,     1.20,2,     0.00,2,     0.01,2,     0.18,2,    1.472,2,    0.953,2,   1.8483,2,   2071.0,2,   2394.0,2,    331.9,2,       20,   8.0384,2,       25,    70.20,2,      1.2,2,     4.53,2,      6.1,2,20230309,1145
33RO20230306  ,A16N       ,1       ,  2,10220      ,120        ,20230309,0929,  -5.9988, -24.9996,     5807,     90.3,  24.2714,  36.9577,3,  36.9239,2,    204.6,3,    208.6,2,     1.00,2,     0.00,2,     0.01,2,     0.19,2,    1.647,2,    1.050,2,   1.6766,2,   2097.8,2,   2425.5,2,    346.2,2,       20,   8.0311,2,       25,    72.27,2,      1.2,2,     5.12,2,      7.2,2,20230309,1143
33RO20230306  ,A16N       ,1       ,  2,10219      ,119        ,20230309,0929,  -5.9988, -24.9996,     5807,    150.9,  14.3337,  35.5510,3,  35.5078,2,    106.1,3,    105.4,2,     6.80,2,    20.60,2,     0.04,2,     1.44,2,    2.191,2,    1.292,2,   1.1880,2,   2200.5,2,   2332.8,2,    866.5,2,       20,   7.6775,2,       25,    47.05,2,      0.3,2,    22.43,2,     26.5,2,20230309,1140
33RO20230306  ,A16N       ,1       ,  2,10218      ,118        ,20230309,0929,  -5.9988, -24.9996,     5807,    226.3,  10.6639,  34.9902,3,  35.0095,2,     85.6,3,     89.0,2,    12.10,2,    28.70,2,     0.02,2,     1.91,2,    2.003,2,    1.118,2,   0.9708,2,   2220.9,2,   2308.3,2,   1162.7,2,       20,   7.5631,2,       25,    45.58,2,      0.3,2,    31.41,2,     33.0,2,20230309,1137
33RO20230306  ,A16N       ,1       ,  2,10217      ,117        ,20230309,0929,  -5.9988, -24.9996,     5807,    350.7,   9.0882,  34.8022,3,  34.8236,2,     76.6,3,     80.1,2,    15.90,2,    33.10,2,     0.03,2,     2.18,2,    1.518,2,    0.814,2,   0.3439,2,   2233.2,6,   2300.6,2,   1342.3,2,       20,   7.5045,2,       25,    43.00,2,      0.4,2,    36.06,2,     34.0,2,20230309,1132
33RO20230306  ,A16N       ,1       ,  2,10216      ,116        ,20230309,0929,  -5.9988, -24.9996,     5807,    425.6,   8.1369,  34.7170,3,  34.7256,2,     87.0,3,     90.1,2,    18.30,2,    34.20,2,     0.03,2,     2.27,2,    1.429,2,    0.750,2,   0.4925,3,   2235.3,2,   2298.5,2,   1359.5,2,       20,   7.4985,2,       25,    41.59,2,      0.4,2,    35.98,2,     32.2,2,20230309,1129
