,STNNBR,SAMPNO,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,THETA,DELHER,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
0,1.0,3.0,1,096U20160426,       P15S,1.0,2003.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3023.4,1.796,34.733,2.0,34.7328,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.038,2.0,0.022,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5701,,37.8571,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
1,1.0,2.0,2,096U20160426,       P15S,1.0,2002.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3023.6,1.796,34.733,2.0,34.7331,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5701,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
2,1.0,1.0,3,096U20160426,       P15S,1.0,2001.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.1,1.796,34.733,2.0,34.7322,2.0,192.3,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.57,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
3,1.0,4.0,4,096U20160426,       P15S,1.0,2004.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.2,1.796,34.733,2.0,34.7325,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.037,2.0,0.021,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.57,,39.4466,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
4,1.0,8.0,5,096U20160426,       P15S,1.0,2008.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.2,1.795,34.733,2.0,34.7327,2.0,192.3,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.037,2.0,0.019,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.569,,44.3657,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
5,1.0,13.0,6,096U20160426,       P15S,1.0,2013.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.3,1.795,34.733,2.0,34.7327,2.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.036,2.0,0.019,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.569,,22.2137,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
6,1.0,24.0,7,096U20160426,       P15S,1.0,2024.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.3,1.794,34.733,2.0,34.7331,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.5681,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
7,1.0,7.0,8,096U20160426,       P15S,1.0,2007.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.5,1.796,34.733,2.0,34.7325,2.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.57,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
8,1.0,12.0,9,096U20160426,       P15S,1.0,2012.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.5,1.794,34.733,2.0,34.7323,2.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.04,2.0,0.024,2.0,0.014,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.568,,21.6258,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
9,1.0,6.0,10,096U20160426,       P15S,1.0,2006.0,2.0,20160427.0,659.0,-45.5031,149.3977,4304,3024.6,1.796,34.733,2.0,34.7323,2.0,192.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,0.036,2.0,0.021,2.0,0.0,2.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.57,,41.7006,2.0,['P15S'],2016-04-26,2016-06-22,Bonnie
