,STNNBR,BTLNBR,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,THETA,N2O,N2O_FLAG_W,N2O ERROR,SD_N2O_%,woce_lines,startDate,endDate,source
0,1.0,1.0,1,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,144.5,13.3207,35.9163,2.0,35.9188,2.0,201.2,2.0,201.1,2.0,4.25,2.0,9.29,2.0,0.42,2.0,,9.0,,9.0,2352.5,2.0,7.832,2.0,25.0,13.3004,,,,,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
1,1.0,2.0,2,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,144.5,13.32,35.9161,2.0,35.9191,2.0,201.2,2.0,198.8,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,7.8315,2.0,25.0,13.2997,,,,,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
2,1.0,3.0,3,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,144.5,13.3206,35.9163,2.0,,9.0,201.2,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,7.8299,2.0,25.0,13.3003,9.707421683182428,6.0,0.00732837460477522,0.07549249269217617,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
3,1.0,4.0,4,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,144.5,13.3211,35.9162,2.0,,9.0,201.2,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,7.8301,2.0,25.0,13.3008,,,,,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
4,1.0,5.0,5,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,144.6,13.3207,35.9162,2.0,,9.0,201.2,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,7.8297,2.0,25.0,13.3003,,,,,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
5,1.0,6.0,6,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,144.5,13.3203,35.9161,2.0,,9.0,201.2,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,7.8297,2.0,25.0,13.3,,,,,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
6,1.0,7.0,7,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,99.4,13.4866,35.9365,2.0,35.9393,2.0,214.7,2.0,214.0,2.0,3.12,2.0,7.82,2.0,0.37,2.0,,9.0,,9.0,2351.3,2.0,7.8544,2.0,25.0,13.4725,,,,,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
7,1.0,8.0,8,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,99.4,13.4872,35.9365,2.0,35.9381,2.0,214.7,2.0,214.2,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,7.8544,2.0,25.0,13.4731,,,,,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
8,1.0,9.0,9,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,99.5,13.488,35.9366,2.0,,9.0,214.7,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,7.8581,2.0,25.0,13.4739,9.669252069392373,6.0,0.013694934717041031,0.1416338577043802,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
9,1.0,10.0,10,29AH20120622,      OVIDE,1.0,2.0,20120623.0,0.0,40.3326,-9.4594,155,99.5,13.4884,35.9367,2.0,,9.0,214.7,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,7.857,2.0,25.0,13.4743,,,,,"['OVIDE', 'AR07W']",2012-06-22,2012-07-24,Mercedes
