,STNNBR,CASTNO,BTLNBR,Unnamed: 0,EXPOCODE,SECT_ID,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,N2O,N2O_FLAG_W,N2O ERROR,SD_N2O_%,woce_lines,startDate,endDate,source
0,1.0,1.0,1.0,1,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,331.6,4.524,34.0753,2.0,275.5,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
1,1.0,1.0,2.0,2,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,332.2,4.5136,34.076,2.0,274.8,2.0,274.9,2.0,13.22,2.0,24.94,2.0,1.52,2.0,2269.9,2.0,7.6827,2.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
2,1.0,1.0,3.0,3,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,300.0,4.9767,34.0292,2.0,281.1,2.0,280.5,2.0,9.54,2.0,23.8,2.0,1.53,2.0,2265.7,2.0,7.706,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
3,1.0,1.0,4.0,4,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,300.7,4.9705,34.0303,2.0,280.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
4,1.0,1.0,5.0,5,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,203.3,5.4916,33.9656,2.0,281.6,2.0,281.2,2.0,7.12,2.0,22.42,2.0,1.51,2.0,2265.1,2.0,7.7235,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
5,1.0,1.0,6.0,6,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,201.5,5.4932,33.9652,2.0,281.2,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
6,1.0,1.0,7.0,7,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,152.9,5.6999,33.9338,2.0,280.4,2.0,279.5,2.0,6.01,2.0,21.87,2.0,1.48,2.0,2264.2,2.0,7.7232,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
7,1.0,1.0,8.0,8,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,152.9,5.701,33.9334,2.0,280.3,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
8,1.0,1.0,9.0,9,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,101.8,6.4607,33.9099,2.0,273.9,2.0,274.0,2.0,4.73,2.0,21.15,2.0,1.42,2.0,2257.4,2.0,7.7384,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
9,1.0,1.0,10.0,10,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,101.8,6.4634,33.91,2.0,273.8,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
10,1.0,1.0,11.0,11,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,37.0,8.6381,33.772,2.0,284.4,2.0,285.0,2.0,1.64,2.0,12.55,2.0,0.93,2.0,2254.9,2.0,7.8395,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
11,1.0,1.0,12.0,12,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,36.4,8.6369,33.7725,2.0,284.2,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
12,1.0,1.0,13.0,13,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,5.9,8.7119,33.7704,2.0,285.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
13,1.0,1.0,14.0,14,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,6.3,8.7113,33.7705,2.0,285.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
14,1.0,1.0,15.0,15,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,6.3,8.7118,33.7705,2.0,285.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
15,1.0,1.0,16.0,16,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,5.7,8.7105,33.7706,2.0,286.0,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
16,1.0,1.0,17.0,17,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,6.0,8.709,33.7705,2.0,285.9,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
17,1.0,1.0,18.0,18,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,6.2,8.7091,33.7702,2.0,285.8,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
18,1.0,1.0,19.0,19,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,6.5,8.7051,33.77,2.0,285.3,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
19,1.0,1.0,20.0,20,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,5.9,8.7097,33.7703,2.0,285.7,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
20,1.0,1.0,21.0,21,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,5.7,8.7069,33.7705,2.0,285.8,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
21,1.0,1.0,22.0,22,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,5.9,8.7055,33.7703,2.0,285.8,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
22,1.0,1.0,23.0,23,  29HE20130320,   A17,2.0,20130323.0,1143.0,-50.709,-57.002,347,6.2,8.7039,33.7701,2.0,285.4,2.0,285.4,2.0,1.6,2.0,12.36,2.0,0.91,2.0,2256.3,2.0,7.8408,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
23,2.0,1.0,1.0,24,  29HE20130320,   A17,2.0,20130323.0,1740.0,-50.103,-56.476,501,485.5,3.8662,34.1109,2.0,275.9,2.0,275.4,2.0,17.39,2.0,27.05,2.0,1.8,2.0,,9.0,7.6753,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
24,2.0,1.0,2.0,25,  29HE20130320,   A17,2.0,20130323.0,1740.0,-50.103,-56.476,501,486.5,3.8652,34.1111,2.0,275.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
25,2.0,1.0,3.0,26,  29HE20130320,   A17,2.0,20130323.0,1740.0,-50.103,-56.476,501,405.8,4.1799,34.1025,2.0,281.5,2.0,281.0,2.0,13.86,2.0,25.88,2.0,1.74,2.0,,9.0,7.6901,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
26,2.0,1.0,4.0,27,  29HE20130320,   A17,2.0,20130323.0,1740.0,-50.103,-56.476,501,411.5,4.171,34.1038,2.0,287.2,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
27,2.0,1.0,5.0,28,  29HE20130320,   A17,2.0,20130323.0,1740.0,-50.103,-56.476,501,304.0,4.3992,34.0985,2.0,287.2,2.0,287.0,2.0,11.33,2.0,24.8,2.0,1.64,2.0,,9.0,7.7088,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
28,2.0,1.0,6.0,29,  29HE20130320,   A17,2.0,20130323.0,1740.0,-50.103,-56.476,501,304.1,4.3959,34.0984,2.0,287.0,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
29,2.0,1.0,7.0,30,  29HE20130320,   A17,2.0,20130323.0,1740.0,-50.103,-56.476,501,204.0,4.5106,34.0821,2.0,285.8,2.0,285.1,2.0,10.66,2.0,24.47,2.0,1.6,2.0,,9.0,7.7033,2.0,25.0,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
30,2.0,1.0,8.0,31,  29HE20130320,   A17,2.0,20130323.0,1740.0,-50.103,-56.476,501,203.3,4.5091,34.0822,2.0,285.6,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,['A17'],2013-03-20,2013-05-22,Mercedes
