,STNNBR,SAMPNO,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,DELO18,DELO18_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CALCIUM,CALCIUM_FLAG_W,D15N_NO3,D15N_NO3_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,SALTREF,SALTREF_FLAG_W,D18O_NO3,D18O_NO3_FLAG_W,DSI30,DSI30_FLAG_W,CDOM_NASA,CDOM_NASA_FLAG_W,CDOM_UCSB,CDOM_UCSB_FLAG_W,D15N_NO2+NO3,D15N_NO2+NO3_FLAG_W,D18O_NO2+NO3,D18O_NO2+NO3_FLAG_W,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
0,1.0,33.0,1,320620140320,       P16S,2.0,33.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,26.7,5.1642,33.7827,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,5.1635,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,20140326.0,1202.0,-59.9993,174.0019,,9.0,,9.0,,9.0,,1.0,,9.0,,9.0,,9.0,,1,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
1,1.0,34.0,2,320620140320,       P16S,2.0,34.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,27.8,5.1644,33.7827,2.0,33.783,2.0,304.2,2.0,305.2,2.0,4.4,2.0,22.46,2.0,0.22,2.0,1.58,2.0,4.528,6.0,2.748,6.0,2.58,6.0,2126.2,2.0,2271.4,2.0,7.8327,2.0,20.0,,9.0,,9.0,,9.0,5.1641,2.0,,9.0,,9.0,,9.0,49.1,2.0,26.04,2.0,,9.0,,9.0,20140326.0,1202.0,-59.9993,174.0019,33.9423,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,14.4678,2,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
2,1.0,32.0,3,320620140320,       P16S,2.0,32.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,75.1,5.163,33.783,2.0,33.7824,2.0,295.3,4.0,305.6,2.0,4.3,2.0,22.53,2.0,0.22,2.0,1.58,2.0,4.557,3.0,2.736,3.0,2.56,3.0,2126.4,2.0,2270.7,2.0,7.8283,2.0,20.0,,9.0,,9.0,,9.0,5.161,2.0,,9.0,,9.0,,9.0,44.5,2.0,26.18,2.0,,9.0,,9.0,20140326.0,1200.0,-59.9992,174.0018,33.9417,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,13.7973,3,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
3,1.0,31.0,4,320620140320,       P16S,2.0,31.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,99.6,4.8899,33.7683,2.0,33.7824,2.0,304.4,4.0,306.8,2.0,5.18,2.0,23.01,2.0,0.22,2.0,1.64,2.0,,9.0,,9.0,,9.0,2130.7,2.0,2270.0,2.0,7.8162,2.0,20.0,,9.0,,9.0,,9.0,4.8656,2.0,,9.0,,9.0,,9.0,42.8,2.0,25.93,2.0,,9.0,,9.0,20140326.0,1158.0,-59.9993,174.0019,33.9417,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,1,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
4,1.0,29.0,5,320620140320,       P16S,2.0,29.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,144.8,3.6097,33.8706,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,3.6081,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,20140326.0,1156.0,-59.9993,174.0019,,9.0,,9.0,,9.0,,1.0,,9.0,,9.0,,9.0,,1,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
5,1.0,30.0,6,320620140320,       P16S,2.0,30.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,145.2,3.6045,33.8707,2.0,33.8729,2.0,302.4,4.0,303.8,2.0,9.18,2.0,25.06,2.0,0.33,2.0,1.84,2.0,4.925,2.0,2.961,2.0,2.59,2.0,2146.1,2.0,2274.4,2.0,7.7787,2.0,20.0,,9.0,,9.0,,9.0,3.6036,2.0,,9.0,,9.0,,9.0,44.3,2.0,28.43,2.0,,9.0,,9.0,20140326.0,1156.0,-59.9993,174.002,34.0326,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,15.5651,2,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
6,1.0,28.0,7,320620140320,       P16S,2.0,28.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,191.2,2.9224,33.9166,2.0,33.9021,2.0,303.2,4.0,300.5,2.0,13.09,2.0,26.82,2.0,0.0,2.0,1.9,2.0,,9.0,,9.0,,9.0,2154.4,2.0,2275.8,3.0,7.7564,2.0,20.0,,9.0,,9.0,,9.0,2.9212,2.0,,9.0,,9.0,,9.0,43.2,2.0,29.33,2.0,,9.0,,9.0,20140326.0,1154.0,-59.9994,174.002,34.0619,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,1,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
7,1.0,27.0,8,320620140320,       P16S,2.0,27.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,239.5,3.0895,33.9884,2.0,33.9916,2.0,252.8,4.0,282.0,2.0,16.89,2.0,27.71,2.0,0.0,2.0,1.95,2.0,4.6,2.0,2.726,2.0,1.81,2.0,2165.3,2.0,2278.6,2.0,7.7425,2.0,20.0,,9.0,,9.0,,9.0,3.0778,2.0,,9.0,,9.0,,9.0,41.4,2.0,31.81,2.0,,9.0,,9.0,20140326.0,1152.0,-59.9995,174.0021,34.1518,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,17.3634,2,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
8,1.0,26.0,9,320620140320,       P16S,2.0,26.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,289.8,3.2553,34.1078,2.0,34.1076,2.0,256.0,2.0,256.3,2.0,23.63,2.0,29.33,2.0,0.0,2.0,2.06,2.0,,9.0,,9.0,,9.0,2180.2,2.0,2289.4,2.0,7.7131,2.0,20.0,,9.0,,9.0,,9.0,3.264,2.0,,9.0,,9.0,,9.0,42.7,2.0,31.75,2.0,,9.0,,9.0,20140326.0,1151.0,-59.9997,174.0021,34.2684,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,1,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
9,1.0,25.0,10,320620140320,       P16S,2.0,25.0,2.0,20140326.0,1011.0,-60.0002,174.0017,4534.0,339.4,3.1261,34.1384,2.0,34.1375,2.0,249.8,2.0,248.9,2.0,27.24,2.0,30.17,2.0,0.0,2.0,2.12,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,3.1223,2.0,,9.0,,9.0,,9.0,41.2,2.0,33.74,2.0,,9.0,,9.0,20140326.0,1149.0,-60.0,174.0019,34.2985,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,1,"['P16', 'P16S']",2014-03-20,2014-05-05,Bonnie
