STNNBR,SAMPNOfull,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,THETA,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
1,124,1,33RO20100308,      A13.5,1,24,11714,2,20100314,910,-54.0007,0.0002,2545,5.6,2.3373,33.7458,2,33.7449,2,329.1,2,328.6,2,24.03,2,23.23,2,0.28,2,1.55,2,5.626,2,3.012,2,2.344,2,2149.7,6,2282.5,2,752.2,2,20.0,7.7264,2,25.0,,1,,1,,9,2.3364,2,1.58,2,-91.2,2,2.5,7.087,3,45.03,2,26.33,2,5.6,2.337,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,123,2,33RO20100308,      A13.5,1,23,11713,2,20100314,910,-54.0007,0.0002,2545,30.0,2.3393,33.7456,2,,9,330.2,2,329.2,2,23.64,2,23.04,2,0.33,2,1.56,2,5.616,6,3.007,6,2.479,6,2151.0,2,2280.2,2,754.3,2,20.0,7.726,2,25.0,,1,,1,,9,2.3387,2,1.53,2,-88.4,2,2.5,7.224,3,43.28,2,26.42,2,30.0,2.3377,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,122,3,33RO20100308,      A13.5,1,22,11712,2,20100314,910,-54.0007,0.0002,2545,59.6,2.3249,33.746,2,33.747,2,328.9,2,329.3,6,23.88,2,23.12,2,0.33,2,1.56,2,5.635,2,3.019,2,2.506,2,2148.5,2,2280.6,2,777.2,2,20.0,7.7261,2,25.0,,1,,1,,9,2.3248,2,1.56,2,-90.0,2,2.6,7.345,3,42.24,2,25.81,2,59.6,2.3217,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,121,4,33RO20100308,      A13.5,1,21,11010,2,20100314,910,-54.0007,0.0002,2545,99.7,0.8735,33.8568,2,,9,313.2,2,318.3,2,,9,,9,,9,,9,5.668,2,3.0,2,2.535,2,2176.1,2,2286.0,2,877.6,2,20.0,7.6681,2,25.0,,1,,1,,9,0.8767,3,1.26,2,-92.1,2,2.5,7.068,3,40.99,2,30.41,2,99.7,0.8693,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,120,5,33RO20100308,      A13.5,1,20,11715,2,20100314,910,-54.0007,0.0002,2545,150.1,0.2458,34.1994,2,34.2104,2,256.8,2,256.3,2,66.18,2,32.34,2,0.06,2,2.28,2,3.926,2,2.052,2,1.5,2,2219.9,2,2305.3,2,1131.2,2,20.0,7.583,2,25.0,,1,,1,,9,0.2479,2,0.75,2,-115.0,2,2.8,4.742,3,40.43,2,34.39,2,150.1,0.2401,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,119,6,33RO20100308,      A13.5,1,19,11007,2,20100314,910,-54.0007,0.0002,2545,200.3,1.0544,34.4228,2,34.4213,2,211.7,2,209.9,2,78.31,2,33.95,2,0.06,2,2.39,2,2.389,2,1.229,2,0.731,2,2244.8,2,2320.5,2,1216.0,2,20.0,7.5539,2,25.0,,1,,1,,9,1.0537,2,0.5,2,-132.0,2,2.6,2.803,3,39.94,2,35.64,2,200.3,1.0453,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,118,7,33RO20100308,      A13.5,1,18,11710,2,20100314,910,-54.0007,0.0002,2545,251.4,1.4835,34.5449,2,34.5423,2,188.5,2,187.4,2,85.24,2,34.38,2,0.05,2,2.42,2,1.428,2,0.732,2,0.456,2,2255.9,2,2329.8,2,1238.0,2,20.0,7.547,2,25.0,,1,,1,,9,1.485,2,0.46,2,-141.2,2,2.6,1.677,3,39.06,2,36.03,2,251.4,1.471,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,117,8,33RO20100308,      A13.5,1,17,11023,3,20100314,910,-54.0007,0.0002,2545,299.3,1.6204,34.5982,2,34.5947,2,182.5,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,7.5615,4,25.0,,9,,9,,9,1.6187,2,,9,,9,,,9,,9,,9,299.3,1.6051,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,116,9,33RO20100308,      A13.5,1,16,11709,2,20100314,910,-54.0007,0.0002,2545,399.8,1.6726,34.64,2,34.6393,2,181.2,2,180.1,2,90.22,2,33.66,2,0.05,2,2.37,2,0.79,2,0.395,2,0.207,2,2259.7,2,2338.9,2,1189.9,2,20.0,7.5605,2,25.0,,1,,1,,9,1.6717,2,0.39,2,-150.2,2,2.5,0.964,3,38.59,2,35.78,2,399.8,1.6516,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
1,115,10,33RO20100308,      A13.5,1,15,11006,2,20100314,910,-54.0007,0.0002,2545,500.5,1.6447,34.6776,2,34.677,2,183.9,2,183.6,2,92.75,2,32.9,2,0.05,2,2.31,2,0.595,2,0.3,2,0.152,2,2257.8,2,2342.3,2,1154.7,2,20.0,7.5751,2,25.0,,1,,1,,9,1.6446,2,0.47,2,-155.2,2,2.8,0.752,3,38.7,2,34.71,2,500.5,1.618,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
