STNNBR,SAMPNOfull,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,DELO18,DELO18_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,14C-DOC,14C-DOC_FLAG_W,THETA,SIG0,SALTREF,SALTREF_FLAG_W,BLACKC,BLACKC_FLAG_W,PIGMENTS,PIGMENTS_FLAG_W,14C-DOCERR,13C-DOC,13C-DOC_FLAG_W,13C-DOCERR,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
1,209,1,33RO20110926,        A10,2,9,11706,2,20110928,604,-28.5128,14.9492,174.0,4.7,14.456,34.9876,2,34.9891,2,254.9,2,260.6,2,8.7,2,4.9,2,0.23,2,0.62,2,2.917,2,1.678,2,1.579,2,2083.4,2,2320.2,6,,9,,7.9158,6,25.0,,9,,9,,9,,9,,3.207,3,,9,64.3415,2,10.02,2,4.7,,9,14.4553,26.079,35.1541,2,,9,,1,,,9,,8.717,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
1,208,2,33RO20110926,        A10,2,8,11033,2,20110928,604,-28.5128,14.9492,174.0,14.6,14.4506,34.9873,2,34.9903,2,255.3,2,260.8,2,8.7,2,4.9,2,0.22,2,0.62,2,,5,,5,,5,2084.6,6,2319.6,2,,9,,7.9259,2,25.0,,9,,9,,9,,9,,,5,,9,65.7366,2,11.33,2,14.6,,9,14.4485,26.082,35.1553,6,,9,,9,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
1,207,3,33RO20110926,        A10,2,7,11705,2,20110928,604,-28.5128,14.9492,174.0,25.1,14.4501,34.9872,2,34.9915,2,255.7,2,260.9,2,8.7,2,4.8,2,0.23,2,0.615,2,2.894,2,1.681,2,1.623,2,2084.7,2,2318.8,2,,9,,7.9259,2,25.0,,9,,9,,9,,9,,3.453,3,,9,63.3951,2,10.43,2,25.1,,9,14.4464,26.086,35.1565,2,,9,,1,,,9,,8.755,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
1,206,4,33RO20110926,        A10,2,6,11029,2,20110928,604,-28.5128,14.9492,174.0,51.5,14.3265,35.0131,2,35.0147,2,251.2,2,251.5,2,7.8,6,5.4,6,0.27,6,0.674,6,2.867,2,1.671,2,1.66,2,2094.5,2,2320.4,2,,9,,7.9088,2,25.0,,9,,9,,9,,9,,3.026,3,,9,62.0,2,13.34,2,51.5,,9,14.3189,26.132,35.1798,2,,9,,1,,,9,,8.841,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
1,205,5,33RO20110926,        A10,2,5,11704,2,20110928,604,-28.5128,14.9492,174.0,75.9,12.4322,34.9889,2,34.9932,2,204.4,2,207.1,2,7.5,2,13.8,2,0.14,2,1.045,2,3.018,2,1.72,2,1.397,2,2135.5,2,,5,,9,,7.7916,2,25.0,,9,,9,,9,,9,,1.919,3,,9,56.3512,2,19.99,2,75.9,,9,12.4221,26.509,35.1583,2,,9,,1,,,9,,11.041,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
1,204,6,33RO20110926,        A10,2,4,11030,2,20110928,604,-28.5128,14.9492,174.0,99.0,10.8527,34.884,2,34.8874,2,200.7,2,199.5,2,6.8,2,16.3,2,0.06,2,1.15,2,3.173,2,1.761,2,1.232,2,2145.0,2,2302.1,2,,9,,7.7515,2,25.0,,9,,9,,9,,9,,1.089,3,,9,46.2049,2,19.71,2,99.0,,9,10.8407,26.718,35.0519,2,,9,,1,,,9,,13.084,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
1,203,7,33RO20110926,        A10,2,3,11703,2,20110928,604,-28.5128,14.9492,174.0,125.0,10.4679,34.842,2,34.8406,2,196.7,2,193.5,2,8.0,2,17.9,2,0.06,2,1.253,2,3.182,2,1.743,2,1.168,2,2152.7,2,2301.8,2,,9,,7.7214,2,25.0,,9,,9,,9,,9,,1.178,3,,9,46.2244,2,21.3,2,125.0,,9,10.453,26.75,35.0049,2,,9,,1,,,9,,13.539,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
1,202,8,33RO20110926,        A10,2,2,11702,2,20110928,604,-28.5128,14.9492,174.0,152.3,9.9705,34.792,2,34.7957,2,153.7,2,152.5,2,12.4,6,22.0,6,0.03,6,1.566,6,3.023,2,1.665,2,1.052,2,2187.3,2,2298.8,2,,9,,7.6444,2,25.0,,9,,9,,9,,9,,1.219,3,,9,49.1122,2,27.29,2,152.3,,9,9.953,26.8,34.9598,2,,9,,1,,,9,,14.889,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
1,201,9,33RO20110926,        A10,2,1,11701,2,20110928,604,-28.5128,14.9492,174.0,169.2,9.93,34.7869,2,34.7868,2,153.6,2,153.0,2,12.6,2,21.7,2,0.04,2,1.575,2,3.036,6,1.681,6,1.07,6,2189.0,2,2296.0,4,,9,,7.6339,6,25.0,,9,,9,,9,,9,,1.14,3,,9,48.1659,2,27.34,2,169.2,,9,9.9105,26.801,34.9508,2,,9,,9,,,9,,15.4135,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
2,112,10,33RO20110926,        A10,1,12,11027,2,20110928,919,-28.7159,14.4665,263.0,4.1,14.8869,35.035,2,35.0375,2,253.6,2,259.0,2,7.3,2,4.4,2,0.19,2,0.536,2,2.814,6,1.646,6,1.577,6,2077.9,6,2321.6,6,,9,,7.9323,6,25.0,,9,,9,,9,,9,,3.059,3,,9,,9,,9,4.1,,9,14.8863,26.026,35.2027,2,,9,,9,,,9,,8.339,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
2,113,11,33RO20110926,        A10,1,13,11031,2,20110928,919,-28.7159,14.4665,263.0,4.0,14.883,35.0351,2,35.0572,2,253.6,2,,9,7.3,2,4.5,2,0.19,2,0.535,2,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,4.0,,9,14.8824,26.042,35.2225,2,,9,,1,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
2,111,12,33RO20110926,        A10,1,11,11707,2,20110928,919,-28.7159,14.4665,263.0,34.2,14.7622,35.0616,2,35.0619,2,253.0,2,256.1,2,6.8,2,4.6,2,0.21,2,0.528,2,2.826,2,1.648,2,1.557,2,2081.8,2,2322.3,4,,9,,7.9208,2,25.0,,9,,9,,9,,9,,3.029,3,,9,,9,,9,34.2,,9,14.7571,26.071,35.2272,2,,9,,9,,,9,,8.479,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
2,110,13,33RO20110926,        A10,1,10,11003,2,20110928,919,-28.7159,14.4665,263.0,50.3,14.63,35.1283,2,,9,247.2,2,,9,5.6,6,4.9,6,0.28,6,0.523,6,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,50.3,,9,14.6225,26.153,,9,,9,,1,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
2,109,14,33RO20110926,        A10,1,9,11706,2,20110928,919,-28.7159,14.4665,263.0,64.5,14.2413,35.1604,2,,9,235.6,2,,9,5.2,2,6.6,2,0.4,2,0.613,2,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,64.5,,9,14.2319,26.261,,9,,9,,1,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
2,108,15,33RO20110926,        A10,1,8,11033,2,20110928,919,-28.7159,14.4665,263.0,64.2,14.2213,35.1578,2,35.1661,2,235.1,2,237.1,2,5.2,2,6.7,2,0.39,2,0.617,2,2.827,2,1.642,2,1.475,2,2099.9,2,2324.7,2,,9,,,5,25.0,,9,,9,,9,,9,,2.472,3,,9,,9,,9,64.2,,9,14.2119,26.265,35.3319,2,,9,,9,,,9,,9.24,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
2,107,16,33RO20110926,        A10,1,7,11705,2,20110928,919,-28.7159,14.4665,263.0,88.3,12.8365,35.0778,2,35.0908,2,211.9,2,212.2,2,5.7,2,11.6,2,0.09,2,0.881,2,2.976,2,1.682,2,1.353,2,2125.8,2,2312.2,2,,9,,7.8156,2,25.0,,9,,9,,9,,9,,1.705,3,,9,,9,,9,88.3,,9,12.8245,26.499,35.2563,2,,9,,9,,,9,,10.965,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
2,106,17,33RO20110926,        A10,1,6,11029,2,20110928,919,-28.7159,14.4665,263.0,116.3,11.7316,34.9712,2,34.9802,2,201.5,2,200.8,2,6.7,6,14.5,6,0.06,6,1.054,6,3.05,2,1.704,2,1.278,2,2139.4,2,2298.9,4,,9,,7.7765,2,25.0,,9,,9,,9,,9,,1.39,3,,9,,9,,9,116.3,,9,11.7167,26.62,35.1452,2,,9,,9,,,9,,11.978,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
2,105,18,33RO20110926,        A10,1,5,11704,2,20110928,919,-28.7159,14.4665,263.0,140.1,10.7114,34.87,2,34.8747,2,191.0,2,189.0,2,8.3,2,17.5,2,0.05,2,1.254,2,,9,,9,,9,2156.3,2,2302.4,3,,9,,7.7356,2,25.0,,9,,9,,9,,9,,,9,,9,,9,,9,140.1,,9,10.6945,26.736,35.0392,2,,9,,9,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
2,104,19,33RO20110926,        A10,1,4,11030,2,20110928,919,-28.7159,14.4665,263.0,165.4,10.1195,34.8107,2,34.8143,2,167.7,2,165.3,2,11.2,6,20.8,6,0.11,6,1.486,6,2.993,2,1.644,2,1.08,2,2176.8,2,2300.5,2,,9,,7.6755,2,25.0,,9,,9,,9,,9,,1.114,3,,9,,9,,9,165.4,,9,10.1002,26.789,34.9785,2,,9,,9,,,9,,15.667,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
2,103,20,33RO20110926,        A10,1,3,11703,2,20110928,919,-28.7159,14.4665,263.0,194.6,9.5389,34.7547,2,34.7596,2,149.8,2,150.0,2,13.6,2,23.4,2,0.16,2,1.675,2,,9,,9,,9,2192.4,2,2298.0,2,,9,,7.6294,2,25.0,,9,,9,,9,,9,,,9,,9,,9,,9,194.6,,9,9.5171,26.847,34.9236,2,,9,,9,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
2,102,21,33RO20110926,        A10,1,2,11702,2,20110928,919,-28.7159,14.4665,263.0,218.8,8.907,34.7018,2,34.7028,2,138.0,2,138.1,2,15.8,2,26.1,2,0.18,2,1.852,2,2.593,2,1.393,2,0.788,2,2202.7,2,2296.4,2,,9,,7.5994,2,25.0,,9,,9,,9,,9,,1.197,3,,9,,9,,9,218.8,,9,8.8834,26.903,34.8665,2,,9,,9,,,9,,20.441,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
2,101,22,33RO20110926,        A10,1,1,11701,2,20110928,919,-28.7159,14.4665,263.0,256.7,8.1702,34.6395,2,34.6411,2,127.3,2,125.0,2,19.1,2,29.1,2,0.1,2,2.062,2,2.295,6,1.209,6,0.655,6,2215.7,2,2296.5,6,,9,,7.5513,6,25.0,,9,,9,,9,,9,,1.16,3,,9,,9,,9,256.7,,9,8.144,26.971,34.8045,2,,9,,9,,,9,,23.298,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,122,23,33RO20110926,        A10,1,22,11712,2,20110928,1118,-28.817,14.1836,,5.1,15.1473,35.1835,2,,9,249.7,2,,9,4.8,2,4.5,2,0.17,2,0.455,2,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,1.28,2,52.9,2,2.6,,9,,9,,9,,9,5.1,,9,15.1465,26.084,,9,,9,,1,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
3,121,24,33RO20110926,        A10,1,21,11010,2,20110928,1118,-28.817,14.1836,,4.8,15.1627,35.1838,2,35.1867,2,249.7,2,255.3,2,4.8,2,4.6,2,0.17,2,0.452,2,2.775,6,1.639,6,1.593,6,2081.2,2,2323.6,2,,9,,7.9309,2,25.0,,9,,9,,9,,9,,2.861,3,,9,56.5561,2,8.45,2,4.8,,9,15.1619,26.093,35.3526,2,,9,,9,,,9,,8.426,2.0,['A10'],2011-09-26,2011-10-31,Bonnie
3,120,25,33RO20110926,        A10,1,20,11715,2,20110928,1118,-28.817,14.1836,,29.6,15.0383,35.1861,2,,9,251.2,2,,9,4.8,6,4.6,6,0.17,6,0.453,6,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,29.6,,9,15.0338,26.108,,9,,9,,1,,,9,,,,['A10'],2011-09-26,2011-10-31,Bonnie
