,STNNBR,SAMPNO,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,ARGON,ARGON_FLAG_W,TRITER,HELIER,DELHER,ARGONER,KRYPTON,KRYPTON_FLAG_W,KRYPTONER,XENON,XENON_FLAG_W,XENONER,14C-DOC,14C-DOC_FLAG_W,14C-DOCERR,13C-DOC,13C-DOC_FLAG_W,13C-DOCERR,THETA,SALTREF,SALTREF_FLAG_W,SBE35,SBE35_FLAG_W,CHLORA,CHLORA_FLAG_W,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
0,1.0,24.0,1,33RO20150410,     P16N.1,1.0,24.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,3.3,29.1275,35.6579,2.0,35.6527,2.0,193.9,2.0,194.0,2.0,0.5,2.0,0.0,2.0,0.0,2.0,0.08,4.0,1.325,3.0,0.922,2.0,1.17,2.0,1982.6,2.0,2346.2,6.0,8.1201,2.0,25.0,0.287,2.0,,9.0,,9.0,29.126,1.08,2.0,49.7,2.0,2.1,,9.0,,81.8,2.0,5.6,2.0,,9.0,0.004,,,,,9.0,,,9.0,,,9.0,,,9.0,,29.1267,35.8208,2.0,,2.0,,9.0,5.849,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
1,1.0,23.0,2,33RO20150410,     P16N.1,1.0,23.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,20.3,29.1353,35.6595,2.0,35.657,2.0,194.3,2.0,194.0,2.0,0.5,2.0,0.0,2.0,0.0,2.0,0.06,4.0,1.349,3.0,0.922,6.0,1.265,6.0,1981.2,2.0,2345.2,2.0,8.1199,2.0,25.0,,9.0,,9.0,,9.0,29.1376,,9.0,,9.0,,,9.0,,81.7,2.0,5.5,2.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,29.1304,35.8252,2.0,,2.0,,9.0,5.768,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
2,1.0,22.0,3,33RO20150410,     P16N.1,1.0,22.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,41.9,29.0821,35.7169,2.0,35.7167,2.0,194.5,2.0,197.0,2.0,0.5,2.0,0.0,2.0,0.0,2.0,0.11,4.0,1.344,3.0,0.919,2.0,1.219,2.0,1987.1,2.0,2349.6,2.0,8.1191,6.0,25.01,0.305,2.0,,9.0,,9.0,29.0836,,9.0,,9.0,,,9.0,,80.4,2.0,5.6,2.0,,9.0,0.003,,,,,9.0,,,9.0,,,9.0,,,9.0,,29.0719,35.8851,2.0,,2.0,,9.0,5.831,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
3,1.0,21.0,4,33RO20150410,     P16N.1,1.0,21.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,66.6,27.4952,35.844,2.0,35.854,2.0,203.4,2.0,203.3,2.0,0.4,2.0,0.0,2.0,0.01,2.0,0.13,4.0,1.484,3.0,0.998,2.0,1.272,2.0,2005.2,2.0,2359.3,2.0,8.1019,2.0,25.0,,9.0,,9.0,,9.0,27.5442,1.05,2.0,39.4,2.0,2.0,,9.0,,79.0,2.0,5.4,2.0,,9.0,,,,,,9.0,,,9.0,,,9.0,,,9.0,,27.4797,36.0231,2.0,,2.0,,9.0,6.257,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
4,1.0,20.0,5,33RO20150410,     P16N.1,1.0,20.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,91.8,25.7102,36.1696,2.0,36.1715,2.0,195.6,2.0,199.6,2.0,0.4,2.0,0.0,2.0,0.01,2.0,0.14,4.0,1.549,3.0,1.053,2.0,1.305,2.0,2042.3,2.0,2380.0,2.0,8.0729,2.0,25.01,0.303,2.0,1.7066,2.0,-1.42,2.0,25.7139,0.98,2.0,40.6,2.0,2.1,6.741,2.0,0.017,78.1,2.0,4.9,2.0,,9.0,0.004,0.0044,0.2,,,9.0,,,9.0,,,9.0,,,9.0,,25.6898,36.3421,2.0,,2.0,,9.0,6.512,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
5,1.0,19.0,6,33RO20150410,     P16N.1,1.0,19.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,117.2,24.1781,36.1166,2.0,36.1159,2.0,186.8,2.0,187.7,2.0,0.5,2.0,0.3,2.0,0.21,2.0,0.19,4.0,1.684,3.0,1.117,2.0,1.376,2.0,2062.4,2.0,2375.1,2.0,8.0366,2.0,25.0,0.322,2.0,,9.0,,9.0,24.1977,0.8,2.0,45.9,2.0,2.0,,9.0,,66.6,2.0,5.3,2.0,,9.0,0.004,,,,,9.0,,,9.0,,,9.0,,,9.0,,24.1532,36.2862,2.0,,2.0,,9.0,6.85,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
6,1.0,18.0,7,33RO20150410,     P16N.1,1.0,18.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,158.5,22.4146,35.996,2.0,35.9876,2.0,177.3,2.0,177.8,2.0,0.5,2.0,2.5,2.0,0.02,2.0,0.21,4.0,1.801,3.0,1.201,2.0,1.533,2.0,2080.1,2.0,2364.1,2.0,7.9912,2.0,25.01,0.286,2.0,1.7218,2.0,-0.91,2.0,22.4303,0.64,2.0,53.9,2.0,2.1,6.884,2.0,0.017,59.6,2.0,6.2,2.0,,9.0,0.004,0.0045,0.2,,,9.0,,,9.0,,,9.0,,,9.0,,22.3827,36.1573,2.0,,3.0,,9.0,7.491,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
7,1.0,17.0,8,33RO20150410,     P16N.1,1.0,17.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,225.1,20.1278,35.7628,2.0,35.7616,2.0,188.2,2.0,189.8,2.0,0.5,2.0,2.5,2.0,0.02,2.0,0.19,4.0,1.965,3.0,1.29,2.0,1.411,2.0,2079.3,3.0,2348.4,2.0,7.9687,2.0,25.02,0.322,2.0,,9.0,,9.0,20.1266,0.47,2.0,70.5,2.0,2.6,,9.0,,56.8,2.0,6.3,2.0,,9.0,0.004,,,,,9.0,,,9.0,,,9.0,,,9.0,,20.0858,35.9302,2.0,,3.0,,9.0,8.023,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
8,1.0,16.0,9,33RO20150410,     P16N.1,1.0,16.0,3.0,20150411.0,550.0,-16.5011,-150.0006,4283,300.6,18.0647,35.4748,2.0,35.4747,2.0,181.1,2.0,,9.0,1.2,2.0,4.7,2.0,0.01,2.0,0.29,4.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,0.262,2.0,1.7393,6.0,-0.67,6.0,18.0636,,9.0,,9.0,,7.087,6.0,0.012,,9.0,,9.0,,9.0,0.003,0.003,0.14,,,9.0,,,9.0,,,9.0,,,9.0,,18.0127,35.642,2.0,,2.0,,9.0,,,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
9,1.0,15.0,10,33RO20150410,     P16N.1,1.0,15.0,2.0,20150411.0,550.0,-16.5011,-150.0006,4283,374.7,15.1363,35.0778,2.0,35.0739,2.0,164.0,2.0,164.2,2.0,3.9,2.0,11.0,2.0,0.01,2.0,0.57,4.0,2.224,3.0,1.355,6.0,1.053,6.0,2124.9,3.0,2309.1,2.0,7.819,3.0,25.0,0.222,2.0,,9.0,,9.0,15.1292,0.57,2.0,45.7,2.0,2.9,,9.0,,53.2,2.0,,9.0,,9.0,0.003,,,,,9.0,,,9.0,,,9.0,,,9.0,,15.0789,35.2392,2.0,,2.0,,9.0,15.914,2.0,"['P16C', 'P16N', 'P16']",2015-04-10,2015-05-13,Bonnie
