,STNNBR,SAMPNOfull,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,N2Ohy,N2O_FLAG_Why,ARGON,ARGON_FLAG_W,BTL_DATE,BTL_TIME,TRITER,SBE35,SBE35_FLAG_W,SALTREF,SALTREF_FLAG_W,DELHE3,DELHE3_FLAG_W,DELHER,HELIER,ARGONER,KRYPTON,KRYPTON_FLAG_W,KRYPTONER,XENON,XENON_FLAG_W,XENONER,14C-DOC,14C-DOC_FLAG_W,14C-DOCERR,13C-DOC,13C-DOC_FLAG_W,13C-DOCERR,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
0,113,123,1,33RO20150525,     P16N.2,1,23,23,2,20150527,702,22.4993,-152.001,5341,19.8,24.752,34.7874,2,,9,207.0,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,739,,24.7512,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
1,113,124,2,33RO20150525,     P16N.2,1,24,24,2,20150527,702,22.4993,-152.001,5341,19.8,24.7527,34.7875,2,,9,206.9,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,739,,24.7526,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
2,113,122,3,33RO20150525,     P16N.2,1,22,22,2,20150527,702,22.4993,-152.001,5341,50.5,24.4438,34.9163,2,,9,209.8,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,737,,24.4409,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
3,113,121,4,33RO20150525,     P16N.2,1,21,21,2,20150527,702,22.4993,-152.001,5341,50.7,24.4359,34.9183,2,,9,209.6,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,736,,24.4417,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
4,113,120,5,33RO20150525,     P16N.2,1,20,20,2,20150527,702,22.4993,-152.001,5341,81.0,23.6405,35.2323,2,,9,213.8,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,734,,23.6375,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
5,113,119,6,33RO20150525,     P16N.2,1,19,19,2,20150527,702,22.4993,-152.001,5341,81.1,23.6359,35.2358,2,,9,213.9,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,734,,23.6336,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
6,113,118,7,33RO20150525,     P16N.2,1,18,18,2,20150527,702,22.4993,-152.001,5341,118.7,21.4499,35.0349,2,,9,206.2,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,731,,21.4476,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
7,113,117,8,33RO20150525,     P16N.2,1,17,17,2,20150527,702,22.4993,-152.001,5341,118.8,21.4509,35.0336,2,,9,206.3,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,731,,21.4464,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
8,113,116,9,33RO20150525,     P16N.2,1,16,16,2,20150527,702,22.4993,-152.001,5341,160.2,19.75,35.0117,2,,9,189.2,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,729,,19.751,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
9,113,115,10,33RO20150525,     P16N.2,1,15,15,2,20150527,702,22.4993,-152.001,5341,160.2,19.757,35.0127,2,,9,189.2,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,729,,19.7536,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
10,113,113,11,33RO20150525,     P16N.2,1,13,13,2,20150527,702,22.4993,-152.001,5341,200.7,16.9736,34.639,2,,9,188.2,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,726,,16.9627,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
11,113,114,12,33RO20150525,     P16N.2,1,14,14,2,20150527,702,22.4993,-152.001,5341,201.0,16.9364,34.6343,2,,9,188.3,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,,9,,9,,9,20150527,727,,16.9381,2,,9,,9,,,,,9,,,9,,,9,,,9,,,,"['P16N', 'P16']",2015-05-25,2015-06-25,Bonnie
