,STNNBR,SAMPNOfull,EXPOCODE,SECT_ID,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,N2Ohy,N2O_FLAG_Why,CALCIUM,CALCIUM_FLAG_W,SAMPNO_U,DNSSAL,DNSSAL_FLAG_W,DNSSAL2,DNSSAL2_FLAG_W,SALNTY_DNSSAL,SALNTY_DNSSAL_FLAG_W,SALNTY_DNSSAL2,SALNTY_DNSSAL2_FLAG_W,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
0,1.0,101.0,33RO20180423,        I7N,1.0,1.0,11010.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,4356.6,0.9571,34.706,2.0,34.7097,2.0,184.8,2.0,,9.0,122.0,6.0,31.7,6.0,0.0,6.0,2.223,6.0,0.178,2.0,0.086,2.0,0.0069,2.0,2257.9,2.0,2365.7,2.0,7.5997,2.0,25.0,,9.0,,9.0,,,1.0,,9.0,,1.0,,9.0,1.0,,9.0,,9.0,,9.0,,9.0,18.51955,2.0,['I07N'],2018-04-23,2018-06-06,Bonnie
1,1.0,102.0,33RO20180423,        I7N,1.0,2.0,11101.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,3950.9,1.1082,34.7137,2.0,34.7156,2.0,180.4,2.0,205.335,2.0,119.3,6.0,31.7,6.0,0.0,6.0,2.24,6.0,0.133,2.0,0.065,2.0,0.0064,2.0,2260.8,6.0,2372.1,2.0,7.6001,2.0,25.0,,9.0,,9.0,,,1.0,41.5,3.0,,1.0,,9.0,2.0,,9.0,,9.0,,9.0,,9.0,18.93383,2.0,['I07N'],2018-04-23,2018-06-06,Bonnie
2,1.0,103.0,33RO20180423,        I7N,1.0,3.0,11102.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,3810.5,1.1585,34.7158,2.0,34.7163,2.0,178.1,2.0,203.39,2.0,118.9,6.0,31.8,6.0,0.0,6.0,2.255,6.0,0.111,2.0,0.054,2.0,0.0088,2.0,2259.5,2.0,2370.2,2.0,7.6002,6.0,25.0,,9.0,,9.0,,,1.0,40.7,3.0,,1.0,,9.0,3.0,,9.0,,9.0,,9.0,,9.0,18.71623,2.0,['I07N'],2018-04-23,2018-06-06,Bonnie
3,1.0,104.0,33RO20180423,        I7N,1.0,4.0,11103.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,3667.5,1.2059,34.7171,2.0,34.7176,2.0,174.5,2.0,199.062,2.0,120.4,6.0,32.1,6.0,0.0,6.0,2.278,6.0,0.076,2.0,0.038,2.0,0.0183,2.0,2266.7,2.0,2375.1,6.0,7.5983,2.0,25.0,,9.0,,9.0,,,1.0,,9.0,,1.0,,9.0,4.0,,9.0,,9.0,,9.0,,9.0,18.98656,2.0,['I07N'],2018-04-23,2018-06-06,Bonnie
4,1.0,105.0,33RO20180423,        I7N,1.0,5.0,11104.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,3525.8,1.2661,34.7194,2.0,34.7247,2.0,172.0,2.0,196.186,2.0,120.4,2.0,32.0,2.0,0.0,2.0,2.28,2.0,0.059,2.0,0.03,2.0,0.0099,2.0,2269.7,2.0,2380.0,2.0,7.5985,2.0,25.0,,9.0,,9.0,,,1.0,,9.0,,1.0,,9.0,5.0,,9.0,,9.0,,9.0,,9.0,19.28052,2.0,['I07N'],2018-04-23,2018-06-06,Bonnie
5,1.0,106.0,33RO20180423,        I7N,1.0,6.0,11105.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,3224.2,1.5227,34.7314,2.0,34.736,2.0,169.0,2.0,191.978,2.0,113.9,2.0,31.6,2.0,0.0,2.0,2.249,2.0,0.049,2.0,0.024,2.0,0.0,2.0,2267.4,2.0,2373.3,2.0,7.6013,2.0,25.0,,9.0,,9.0,,,1.0,41.8,3.0,,1.0,,9.0,6.0,,9.0,,9.0,,9.0,,9.0,19.21955,2.0,['I07N'],2018-04-23,2018-06-06,Bonnie
6,1.0,107.0,33RO20180423,        I7N,1.0,7.0,11106.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,2925.3,1.8652,34.7462,2.0,34.7493,2.0,164.0,2.0,,9.0,106.8,2.0,31.4,2.0,0.0,2.0,2.234,2.0,0.025,2.0,0.014,2.0,0.0,2.0,2266.3,2.0,2373.1,2.0,7.6035,2.0,25.0,,9.0,,9.0,,,1.0,45.0,3.0,,1.0,,9.0,7.0,,9.0,,9.0,,9.0,,9.0,19.68323,2.0,['I07N'],2018-04-23,2018-06-06,Bonnie
7,1.0,108.0,33RO20180423,        I7N,1.0,8.0,11107.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,2626.0,2.1058,34.7498,2.0,34.7505,2.0,163.4,2.0,184.7185,2.0,98.1,2.0,31.0,2.0,0.0,2.0,2.223,2.0,0.024,2.0,0.012,2.0,0.0,2.0,2261.3,2.0,2368.6,2.0,7.6037,2.0,25.0,,9.0,,9.0,,,1.0,,9.0,,1.0,,9.0,8.0,,9.0,,9.0,,9.0,,9.0,19.98233,2.0,['I07N'],2018-04-23,2018-06-06,Bonnie
8,1.0,109.0,33RO20180423,        I7N,1.0,9.0,11108.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,2327.1,2.2746,34.7376,2.0,34.744,2.0,163.5,2.0,182.989,2.0,92.3,2.0,31.0,2.0,0.0,2.0,2.212,2.0,0.037,2.0,0.019,2.0,0.0,2.0,2255.9,2.0,2362.5,2.0,7.602,2.0,25.0,,9.0,,9.0,,,1.0,44.2,3.0,,1.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,20.00439,2.0,['I07N'],2018-04-23,2018-06-06,Bonnie
9,1.0,110.0,33RO20180423,        I7N,1.0,10.0,11109.0,2.0,20180428.0,220.0,-30.0002,54.4595,4283.0,2025.1,2.4495,34.7043,2.0,,9.0,160.1,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,10.0,,9.0,,9.0,,9.0,,9.0,,,['I07N'],2018-04-23,2018-06-06,Bonnie
