BOTTLE,20240730CCHHYDRO
#BOTTLE,STAMP
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,PH_TMP_FLAG_W,DOC,DOC_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,POC,POC_FLAG_W,PON,PON_FLAG_W,POP,POP_FLAG_W,PCOD,PCOD_FLAG_W,TDN,TDN_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,N2O,N2O_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,HPLC,HPLC_FLAG_W,DNA,DNA_FLAG_W,FCM,FCM_FLAG_W
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,,UMOL/KG,,ITS-90,,/MILLE,,/MILLE,,/MILLE,UG/L,,UG/L,,UG/L,,UG/L,,UMOL/KG,,VOLTS,,VOLTS,,NMOL/KG,,,,,,,,,,,
33RR20220430  ,P02        ,1       ,  1,3          ,3          ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.7,1,  27.9114,1,  34.6306,1,     -999,9,    196.0,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0137,1,   4.6537,1,     -999,9,20220501,2044,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
33RR20220430  ,P02        ,1       ,  1,29         ,29         ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.8,1,  27.8928,1,  34.6279,1,     -999,9,    195.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0140,1,   4.6558,1,     -999,9,20220501,2051,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
33RR20220430  ,P02        ,1       ,  1,5          ,5          ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.8,1,  27.9096,1,  34.6307,1,     -999,9,    195.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0137,1,   4.6568,1,     -999,9,20220501,2045,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
33RR20220430  ,P02        ,1       ,  1,26         ,26         ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.8,1,  27.8862,1,  34.6257,1,     -999,9,    195.7,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0140,1,   4.6566,1,     -999,9,20220501,2050,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
33RR20220430  ,P02        ,1       ,  1,10         ,10         ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.8,1,  27.9018,1,  34.6284,1,     -999,9,    195.3,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0137,1,   4.6520,1,     -999,9,20220501,2047,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
33RR20220430  ,P02        ,1       ,  1,35         ,35         ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.9,1,  27.8943,1,  34.6286,1,     -999,9,    195.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0139,1,   4.6565,1,     -999,9,20220501,2052,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
33RR20220430  ,P02        ,1       ,  1,9          ,9          ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.9,1,  27.9102,1,  34.6303,1,     -999,9,    195.5,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0138,1,   4.6563,1,     -999,9,20220501,2046,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
33RR20220430  ,P02        ,1       ,  1,18         ,18         ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.9,1,  27.8905,1,  34.6281,1,     -999,9,    195.4,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0137,1,   4.6563,1,     -999,9,20220501,2048,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
33RR20220430  ,P02        ,1       ,  1,7          ,7          ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.9,1,  27.9065,1,  34.6295,1,     -999,9,    195.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0138,1,   4.6567,1,     -999,9,20220501,2046,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
33RR20220430  ,P02        ,1       ,  1,24         ,24         ,2,20220501,2043,  20.9996, 140.0502,     -999,     12.9,1,  27.8875,1,  34.6261,1,     -999,9,    195.7,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,  -999.00,9,   0.0138,1,   4.6559,1,     -999,9,20220501,2050,  20.9996, 140.0502,-999          ,9,-999          ,9,-999          ,9
