BOTTLE,20240829CCHHYDRO
#BOTTLE,20230830CCHSIOCBG
#For more information on how to cite, please visit cchdo.ucsd.edu.
#Merged parameters: TCARBN, TCARBN_FLAG_W
#20220913CCHHYDRO
#ship: R/V Roger Revelle (33RR)
#dates: 2022-06-13/07-16
#cruise: [P02E]
#chief scientist: [Andreas Thurnherr]
#co-chief scientist: [Sebastien Bigorre]
#float deployments:
#- [Sta,   WMO_ID,    Lat,        Lon,       Date,         Name,              Adopted by]
#- [122,   5906514,   30.0016,    -158.9004, 2022-06-17,   Mysterious Blue,   "Tuskawilla Middle School, Oviedo, FL"]
#- [146,   5906520,   30.0,       -154.05,   2022-06-26,   Baker Bio Bobber,  "Ida Baker High School, Cape Coral, FL"]
#- [170,   5906523,   30.0,       -131.184,  2022-07-03,   Climate Buster,    "Tuskawilla Middle School, Oviedo, FL"]
#- [191,   5906517,   31.7538,    -119.8155, 2022-07-09,   Rambler Express,   "The Alva School, Alva, FL"]
#programs:
#CTD:
#who: [Susan Becker, Todd Martz]
#includes: [CTDPRS, CTDTMP, CTDSAL, CTDOXY, REFTMP]
#status: final
#notes: >
#Salinity:
#who: [Susan Becker, Todd Martz]
#includes: [SALNTY]
#status: final
#notes: >
#Nutrients:
#who: [Susan Becker, Todd Martz]
#includes: [SILCAT, NITRAT, NITRIT, PHSPHT]
#status: final
#notes: >
#O2:
#who: [Susan Becker, Todd Martz]
#includes: [OXYGEN]
#status: final
#notes: >
#Tracers:
#who: [Dong-Ha Min]
#includes: [CFC-11, CFC-12, SF6, N2O]
#status: preliminary
#notes: >
#DIC:
#who: [Richard Feely, Rik Wanninkhof]
#includes: [TCARBN]
#status: final
#notes: >
#Talk:
#who: [Andrew Dickson]
#includes: [ALKALI]
#status: preliminary
#notes: >
#pH:
#who: [Andrew Dickson]
#includes: [PH_TOT, PH_TMP]
#status: preliminary
#notes: >
#DOC:
#who: [Craig Carlson]
#includes: [DOC, TDN]
#status: collected
#notes: >
#13C/14C:
#who: [Rolf Sonnerup, Roberta Hansman]
#includes: [DELC13, DELC14]
#status: collected
#notes: >
#HPLC:
#who: [Adam Martiny]
#includes: [HPLC]
#status: collected
#notes: >
#POC:
#who: [Adam Martiny]
#includes: [POC]
#status: collected
#notes: >
#Bio-GO-SHIP:
#who: [Adam Martiny]
#includes: [DNA, FCM, PCOD, PON, POP]
#status: collected
#notes: >
#Transmissometer:
#who: [Adam Martiny, Jason Graff]
#includes: [CTDXMISS]
#status: preliminary
#notes: >
#Fluorometer:
#who: [GO-BGC]
#includes: [CTDFLUOR]
#status: preliminary
#notes: >
#Viral Abundances:
#who: [Ben Temperton]
#includes: [VIRAL_ABUNDANCE]
#status: collected
#notes: >
#Lowered ADCP:
#who: [Andreas Thurnherr]
#status: collected
#notes: >
#Shipboard ADCP:
#who: [Julia Hummon]
#status: collected
#notes: >
#Underway pCO2:
#who: [Richard Feely]
#status: collected
#notes: >
#Chipod:
#who: [Jonathan Nash]
#status: collected
#notes: >
#UVP:
#who: [Andrew McDonnell]
#status: collected
#notes: >
#|
#| For data citation, please use the data providers listed below.
#|
#| Programs and Principal Investigators
#|
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | Program                   | Affiliation               | Principal Investigator    | Email                     |
#| |===========================|===========================|===========================|===========================|
#| | BGC Floats                | *SIO*                     | Lynne Talley              | ltalley@ucsd.edu          |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | C13 & C14                 | *UW*, *WHOI*              | Rolf Sonnerup, Roberta    | rolf@uw.edu,              |
#| |                           |                           | Hansman                   | rhansman@whoi.edu         |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | *CFCs*, *SF6*             | *UT*                      | Dong-Ha Min               | dongha@austin.utexas.edu  |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | Chipods                   | *OSU*                     | Jonathan Nash             | nash@coas.oregonstate.edu |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | *CTDO* Data, Salinity,    | *UCSD*, *SIO*             | Susan Becker, Todd Martz  | sbecker@ucsd.edu,         |
#| | Nutrients, Dissolved O_2  |                           |                           | trmartz@ucsd.edu          |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | Underway pCO_2            | *PMEL*, *NOAA*            | Simone Alin               | simone.r.alin@noaa.gov    |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | *DOC*, *TDN*              | *UCSB*                    | Craig Carlson             | craig_carlson@ucsb.edu    |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | Lowered *ADCP*            | *LDEO*                    | Andreas Thurnherr         | ant@ldeo.columbia.edu     |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | *POC*, *HPLC*             | *UCSD*                    | Adam Martiny              | amartiny@uci.edu          |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | Shipboard *ADCP*          | *UH*                      | Julia Hummon              | hummon@hawaii.edu         |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | Total Alkalinity, pH      | *SIO*                     | Andrew Dickson            | adickson@ucsd.edu         |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | Total CO_2 (DIC)          | *PMEL*, *NOAA*            | Richard Feely             | richard.a.feely@noaa.gov  |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | Transmissometer           | *UCI*, *OSU*              | Adam Martiny, Jason Graff | amartiny@uci.edu, jason.  |
#| |                           |                           |                           | graff@oregonstate.edu     |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | *UVP*-5                   | *UAF*                     | Andrew McDonnell          | amcdonnell@alaska.edu     |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
#| | Viral Abundance           | *UoE*                     | Ben Temperton             | b.temperton@exeter.ac.uk  |
#| +---------------------------+---------------------------+---------------------------+---------------------------+
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,PH_TMP_FLAG_W,DOC,DOC_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,POC,POC_FLAG_W,PON,PON_FLAG_W,POP,POP_FLAG_W,PCOD,PCOD_FLAG_W,TDN,TDN_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,N2O,N2O_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,HPLC,HPLC_FLAG_W,DNA,DNA_FLAG_W,FCM,FCM_FLAG_W,IMAGES,IMAGES_FLAG_W,VIRAL_ABUNDANCE,VIRAL_ABUNDANCE_FLAG_W
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,,UMOL/KG,,ITS-90,,/MILLE,,/MILLE,,/MILLE,UG/L,,UG/L,,UG/L,,UG/L,,UMOL/KG,,VOLTS,,VOLTS,,NMOL/KG,,,,,,,,,,,,,,,
33RR20220613  ,P02E       ,901     ,  1,12         ,12         ,2,20220615,0046,  24.3195,-159.2779,     4555,      2.8,2,  26.0814,2,  34.9949,2,     -999,9,    199.9,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0126,1,   4.6319,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,30         ,30         ,2,20220615,0046,  24.3195,-159.2779,     4555,      2.9,2,  26.0703,2,  34.9948,2,     -999,9,    199.9,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6299,1,     -999,9,20220615,0116,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,19         ,19         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.1,2,  26.0772,2,  34.9947,2,     -999,9,    199.5,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0135,1,   4.6330,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,36         ,36         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.3,2,  26.0760,2,  34.9949,2,     -999,9,    199.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0123,1,   4.6312,1,     -999,9,20220615,0117,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,22         ,22         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.3,2,  26.0741,2,  34.9948,2,     -999,9,    200.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6335,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,26         ,26         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.4,2,  26.0731,2,  34.9947,2,     -999,9,    199.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0125,1,   4.6330,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,17         ,17         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.4,2,  26.0782,2,  34.9947,2,     -999,9,    200.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0122,1,   4.6309,1,     -999,9,20220615,0116,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,32         ,32         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.5,2,  26.0707,2,  34.9947,2,     -999,9,    200.0,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0127,1,   4.6310,1,     -999,9,20220615,0116,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,14         ,14         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.5,2,  26.0815,2,  34.9947,2,     -999,9,    200.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0134,1,   4.6317,1,     -999,9,20220615,0116,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,15         ,15         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.5,2,  26.0809,2,  34.9948,2,     -999,9,    200.3,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  26.0793,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0122,1,   4.6310,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,34         ,34         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.6,2,  26.0719,2,  34.9944,2,     -999,9,    200.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  26.0789,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6330,1,     -999,9,20220615,0116,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,27         ,27         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.6,2,  26.0730,2,  34.9947,2,     -999,9,    200.2,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  26.0727,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0131,1,   4.6320,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,25         ,25         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.7,2,  26.0737,2,  34.9948,2,     -999,9,    199.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6328,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
