BOTTLE,20241030CCHHYDRO
#BOTTLE,20241029CCHSIOCBG
#For more information on how to cite, please visit cchdo.ucsd.edu
#merged parameters: PH_TOT, PH_TOT_FLAG_W, PH_TMP, ALKALI, ALKALI_FLAG_W
#BOTTLE,20231023CCHHYDRO
#ship: R/V Roger Revelle (33RR)
#dates: 2023-07-22/09-14
#cruise: [I05]
#chief scientist: [Brendan Carter]
#co-chief scientist: [Kay McMonigal]
#float deployments:
#  - [Sta,   WMO_ID,    Lat,           Lon,           Date,         Name]
#  - [7,     2903854,   -32.517613,    114.120900,    2023-07-23,   The Excelerator]
#  - [23,    4903747,   -31.084683,    105.458305,    2023-07-28,   A.B. Combs Al E. Gator]
#  - [51,    5907051,   -33.996212,    95.559368,     2023-08-05,   Hooter The Owl]
#  - [73,    4903745,   -31.194652,    84.368328,     2023-08-10,   Sweet Caroline]
#  - [112,   5907050,   -33.997746,    65.123261,     2023-08-21,   Nautifish]
#  - [139,   2903869,   -33.997968,    53.634945,     2023-08-28,   Saturna Island]
#  - [165,   5907055,   -32.997771,    40.408560,     2023-09-03,   Leibniz]
#  - [184,   3902554,   -32.180121,    32.318027,     2023-09-08,   Wildcats]
#programs:
#  CTD:
#      who: [Susan Becker, Todd Martz]
#      includes: [CTDPRS, CTDTMP, CTDSAL, CTDOXY, REFTMP]
#      status: final
#      notes: >
#  Salinity:
#      who: [Susan Becker, Todd Martz]
#      includes: [SALNTY]
#      status: final
#      notes: >
#  Nutrients:
#      who: [Susan Becker, Todd Martz]
#      includes: [SILCAT, NITRAT, NITRIT, PHSPHT]
#      status: final
#      notes: >
#  O2:
#      who: [Susan Becker, Todd Martz]
#      includes: [OXYGEN]
#      status: final
#      notes: >
#  Tracers:
#      who: [Mark Warner]
#      includes: [CFC-11, CFC-12, SF6, N2O]
#      status: preliminary
#      notes: >
#  DIC:
#      who: [Richard Feely, Rik Wanninkhof]
#      includes: [TCARBN]
#      status: preliminary
#      notes: >
#  Talk:
#      who: [Andrew Dickson]
#      includes: [ALKALI]
#      status: final
#      notes: >
#  pH:
#      who: [Andrew Dickson]
#      includes: [PH_TOT, PH_TMP]
#      status: final
#      notes: >
#  DOC:
#      who: [Craig Carlson]
#      includes: [DOC, TDN]
#      status: collected
#      notes: >
#  HPLC:
#      who: [Adam Martiny]
#      includes: [HPLC]
#      status: collected
#      notes: >
#  POC:
#      who: [Adam Martiny]
#      includes: [POC]
#      status: collected
#      notes: >
#  Bio-GO-SHIP:
#      who: [Adam Martiny]
#      includes: [DNA, PON, POP]
#      status: collected
#      notes: >
#  Transmissometer:
#      who: [Adam Martiny]
#      includes: [CTDXMISS]
#      status: preliminary
#      notes: >
#  Fluorometer:
#      who: [Oscar Schofield]
#      includes: [CTDFLUOR]
#      status: preliminary
#      notes: >
#  Lowered ADCP:
#      who: [Andreas Thurnherr]
#      status: collected
#      notes: >
#  Shipboard ADCP:
#      who: [Julia Hummon]
#      status: collected
#      notes: >
#  Underway pCO2:
#      who: [Simone Alin]
#      status: collected
#      notes: >
#  Chipod:
#      who: [Jonathan Nash]
#      status: collected
#      notes: >
#  EK80:
#      who: [Mei Sato]
#      status: collected
#      notes: >
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,PH_TMP_FLAG_W,DOC,DOC_FLAG_W,REFTMP,REFTMP_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,POP,POP_FLAG_W,DOP,DOP_FLAG_W,DELO18,DELO18_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,N2O,N2O_FLAG_W,D15N_NO3,D15N_NO3_FLAG_W,D15N_NO2+NO3,D15N_NO2+NO3_FLAG_W,D18O_NO2+NO3,D18O_NO2+NO3_FLAG_W,D18O_NO3,D18O_NO3_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,HPLC,HPLC_FLAG_W,DNA,DNA_FLAG_W
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,,UMOL/KG,,ITS-90,,UG/KG,,UG/KG,,UG/L,,UMOL/KG,,/MILLE,,VOLTS,,VOLTS,,NMOL/KG,,/MILLE,,/MILLE,,/MILLE,,/MILLE,,,,,,,,,
33RR20230722  ,I05        ,1       ,  1,34         ,34         ,2,20230722,1345, -32.6931, 114.9764,      114,      2.8,2,  20.2942,2,  35.4155,2,     -999,9,    274.8,3,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   -999.0,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.8475,1,   0.0252,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,20230722,1411, -32.6931, 114.9765,-999          ,9,-999          ,9
33RR20230722  ,I05        ,1       ,  1,36         ,36         ,2,20230722,1345, -32.6931, 114.9764,      114,      3.5,2,  20.3065,2,  35.4166,2,     -999,9,    283.9,3,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   -999.0,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.3876,1,   0.0241,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,20230722,1411, -32.6931, 114.9764,-999          ,9,-999          ,9
33RR20230722  ,I05        ,1       ,  1,33         ,33         ,2,20230722,1345, -32.6931, 114.9764,      114,      4.0,2,  20.2954,2,  35.4155,2,     -999,5,    300.8,3,    224.8,2,     2.93,2,     0.08,2,     0.00,2,     0.14,2,    2.780,2,    1.148,2,   2.0300,2,   2035.0,6,   2321.8,2,   8.0195,6,    24.96,2,     -999,9,  20.2998,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,1,   4.5215,1,   0.0247,1,      7.8,2,     -999,9,     -999,9,     -999,9,     -999,9,20230722,1410, -32.6931, 114.9764,-999          ,9,-999          ,9
33RR20230722  ,I05        ,1       ,  1,35         ,35         ,2,20230722,1345, -32.6931, 114.9764,      114,      4.4,2,  20.3051,2,  35.4163,2,     -999,9,    311.7,3,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   -999.0,9,     -999,9,     -999,9,     -999,9,     -999,9,  20.3047,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.6995,1,   0.0251,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,20230722,1411, -32.6931, 114.9765,-999          ,9,-999          ,9
33RR20230722  ,I05        ,1       ,  1,30         ,30         ,2,20230722,1345, -32.6931, 114.9764,      114,     15.9,2,  20.3074,2,  35.4193,2,     -999,9,    466.1,3,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   -999.0,9,     -999,9,     -999,9,     -999,9,     -999,9,  20.3073,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.8702,1,   0.0255,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,20230722,1408, -32.6931, 114.9764,-999          ,9,-999          ,9
33RR20230722  ,I05        ,1       ,  1,31         ,31         ,2,20230722,1345, -32.6931, 114.9764,      114,     16.1,2,  20.3073,2,  35.4187,2,     -999,9,    466.6,3,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   -999.0,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.8528,1,   0.0285,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,20230722,1408, -32.6931, 114.9764,-999          ,9,-999          ,9
33RR20230722  ,I05        ,1       ,  1,32         ,32         ,2,20230722,1345, -32.6931, 114.9764,      114,     16.2,2,  20.2987,2,  35.4151,2,     -999,9,    469.9,3,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   -999.0,9,     -999,9,     -999,9,     -999,9,     -999,9,  20.3001,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.8380,1,   0.0248,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,20230722,1408, -32.6931, 114.9764,-999          ,9,-999          ,9
33RR20230722  ,I05        ,1       ,  1,29         ,29         ,2,20230722,1345, -32.6931, 114.9764,      114,     16.9,2,  20.3019,2,  35.4163,2,     -999,5,    481.3,3,    224.5,2,     2.83,2,     0.04,2,     0.00,2,     0.13,2,    2.728,2,    1.147,2,   2.0200,2,   2034.9,2,   2324.8,2,   8.0216,2,    24.85,2,     -999,9,  20.3041,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,1,   4.8138,1,   0.0256,1,      7.9,2,     -999,9,     -999,9,     -999,9,     -999,9,20230722,1408, -32.6931, 114.9764,-999          ,9,-999          ,9
33RR20230722  ,I05        ,1       ,  1,25         ,25         ,2,20230722,1345, -32.6931, 114.9764,      114,     28.0,2,  20.2960,2,  35.4256,2,     -999,5,    697.1,3,    223.6,2,     3.02,2,     0.03,2,     0.00,2,     0.12,2,     -999,9,     -999,9,     -999,9,   2034.7,2,   2325.3,2,   8.0172,2,    25.05,2,     -999,9,  20.2958,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,1,   4.2761,1,   0.0253,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,20230722,1405, -32.6931, 114.9765,-999          ,9,-999          ,9
