,STNNBR,CASTNO,CTDPRS,Unnamed: 0,EXPOCODE,SECT_ID,SAMPNO,BTLNBR,BTLNBR_FLAG_W,BTLNBR_U,BTLNBR_U_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,SBE35,SBE35_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0,Cruise,N2O,d15Nbulk,d18O,SP,woce_lines,startDate,endDate,source,N2O_FLAG_W
0,1.0,1.0,4.3,3,49NZ20070724,        P01,20.0,,9.0,20.0,2.0,20070726.0,910.0,42.9715,145.4543,99,2.0,10.3578,2.0,33.1498,2.0,,9.0,334.71,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,10.35254,2.0,,,,,,9.0,,,9.0,,10.3573,25.447,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
1,1.0,1.0,4.4,7,49NZ20070724,        P01,2.0,,2.0,2.0,2.0,20070726.0,910.0,42.9715,145.4543,99,2.0,10.3353,2.0,33.1484,2.0,,9.0,334.69,2.0,329.49,2.0,14.54,2.0,3.7,2.0,0.09,2.0,0.639,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,10.32461,2.0,0.15,0.04,0.01,0.013,,9.0,,,9.0,,10.3348,25.4497,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
2,1.0,1.0,9.1,5,49NZ20070724,        P01,18.0,,2.0,18.0,2.0,20070726.0,910.0,42.9715,145.4543,99,2.0,10.1947,2.0,33.1465,2.0,,9.0,336.48,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,10.16832,2.0,,,,,,9.0,,,9.0,,10.1937,25.4722,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
3,1.0,1.0,9.3,1,49NZ20070724,        P01,36.0,,2.0,36.0,2.0,20070726.0,910.0,42.9715,145.4543,99,2.0,10.1527,2.0,33.1418,2.0,33.1373,2.0,335.48,2.0,333.82,2.0,14.66,2.0,4.26,2.0,0.1,2.0,0.687,2.0,3.984,2.0,2.11,2.0,0.337,2.0,2032.4,2.0,2257.5,2.0,7.931,6.0,25.0,,9.0,,,9.0,,,9.0,10.16164,2.0,0.15,0.04,0.01,0.013,,9.0,,,9.0,,10.1516,25.4757,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
4,1.0,1.0,49.2,2,49NZ20070724,        P01,35.0,,2.0,35.0,2.0,20070726.0,910.0,42.9715,145.4543,99,2.0,5.727,2.0,33.4182,2.0,33.4184,2.0,262.42,2.0,264.18,2.0,31.05,2.0,12.3,2.0,0.23,2.0,1.262,2.0,4.092,2.0,2.14,2.0,0.329,2.0,2123.7,6.0,2265.8,2.0,7.7561,2.0,25.0,,9.0,,,9.0,,,9.0,5.72706,2.0,0.19,0.07,0.01,0.014,,9.0,,,9.0,,5.7231,26.3367,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
5,1.0,1.0,49.3,6,49NZ20070724,        P01,17.0,,9.0,17.0,2.0,20070726.0,910.0,42.9715,145.4543,99,2.0,5.7261,2.0,33.4182,2.0,,9.0,262.34,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,5.72651,2.0,,,,,,9.0,,,9.0,,5.7221,26.3368,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
6,1.0,1.0,88.9,8,49NZ20070724,        P01,1.0,,2.0,1.0,2.0,20070726.0,910.0,42.9715,145.4543,99,2.0,5.7185,2.0,33.4192,2.0,33.4198,6.0,262.46,2.0,263.87,2.0,31.25,2.0,12.36,2.0,0.23,2.0,1.282,2.0,4.195,2.0,2.207,2.0,0.338,2.0,2125.2,2.0,2266.1,2.0,7.7541,2.0,25.0,,9.0,,,9.0,,,9.0,5.71872,2.0,0.19,0.07,0.01,0.014,,9.0,,,9.0,,5.7113,26.3389,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
7,1.0,1.0,89.3,4,49NZ20070724,        P01,19.0,,2.0,19.0,2.0,20070726.0,910.0,42.9715,145.4543,99,2.0,5.7171,2.0,33.4193,2.0,,9.0,262.54,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,5.71744,2.0,,,,,,9.0,,,9.0,,5.7099,26.3392,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
8,2.0,1.0,9.5,9,49NZ20070724,        P01,36.0,,2.0,36.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,9.5439,2.0,32.8027,2.0,32.8465,2.0,307.19,2.0,314.68,2.0,11.17,2.0,11.55,2.0,0.21,2.0,1.257,2.0,4.276,2.0,2.332,2.0,0.333,2.0,2050.4,2.0,2238.3,2.0,7.8733,2.0,25.0,,9.0,,,9.0,,,9.0,9.47877,2.0,0.14,0.07,0.01,0.013,,9.0,,,9.0,,9.5429,25.3116,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
9,2.0,1.0,49.3,10,49NZ20070724,        P01,35.0,,2.0,35.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,2.7937,2.0,33.0408,2.0,33.0446,2.0,319.46,2.0,320.41,2.0,35.6,2.0,21.23,2.0,0.3,2.0,1.822,2.0,5.157,2.0,2.722,2.0,0.375,2.0,2117.2,6.0,2245.2,2.0,7.7231,2.0,25.0,,9.0,,,9.0,,,9.0,2.79812,2.0,0.2,0.09,0.01,0.015,,9.0,,,9.0,,2.7909,26.3392,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
10,,1.0,4502.2,2057,49NZ20070724,        P01,7.0,,2.0,,9.0,20070822.0,1749.0,46.9965,-151.9977,5131,2.0,1.5156,2.0,34.6855,2.0,34.6846,3.0,143.48,2.0,143.4,2.0,164.13,2.0,36.73,2.0,-0.01,2.0,2.571,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2339.2,2.0,2429.2,6.0,7.586,2.0,,0.109,2.0,0.004,-221.9,2.0,1.6,,9.0,1.51562,2.0,0.48,0.14,0.01,0.016,,9.0,,,9.0,,1.1399,27.7832,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
11,,1.0,4250.3,2056,49NZ20070724,        P01,8.0,,2.0,,9.0,20070822.0,1749.0,46.9965,-151.9977,5131,2.0,1.4976,2.0,34.6837,2.0,34.6837,2.0,142.0,2.0,141.99,2.0,162.65,2.0,36.87,2.0,0.0,2.0,2.58,2.0,,9.0,,9.0,,9.0,2339.9,6.0,2427.8,2.0,7.5822,2.0,,-0.064,3.0,0.002,-221.8,2.0,1.7,,9.0,1.49771,2.0,0.48,0.14,0.01,0.016,,9.0,,,9.0,,1.1511,27.781,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
12,2.0,1.0,9.7,16,49NZ20070724,        P01,18.0,,9.0,18.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,9.7924,2.0,32.7937,2.0,,9.0,306.16,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,9.74202,2.0,,,,,,9.0,,,9.0,,9.7913,25.264,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
13,2.0,1.0,49.4,17,49NZ20070724,        P01,17.0,,9.0,17.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,2.82,2.0,33.0385,2.0,,9.0,318.68,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,2.82354,2.0,,,,,,9.0,,,9.0,,2.8172,26.3352,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
14,2.0,1.0,99.7,11,49NZ20070724,        P01,34.0,,2.0,34.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,1.7529,2.0,33.1854,2.0,33.1909,2.0,279.3,2.0,282.43,2.0,50.45,2.0,26.94,2.0,0.15,2.0,2.156,2.0,4.961,2.0,2.61,2.0,0.353,2.0,2165.5,2.0,2254.1,2.0,7.6145,2.0,25.0,,9.0,,,9.0,,,9.0,1.75295,2.0,0.23,0.11,0.01,0.015,,9.0,,,9.0,,1.7481,26.5365,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
15,,1.0,3749.4,2054,49NZ20070724,        P01,10.0,,2.0,,9.0,20070822.0,1749.0,46.9965,-151.9977,5131,2.0,1.4917,2.0,34.6769,2.0,34.6769,2.0,134.81,2.0,134.77,2.0,160.67,2.0,37.34,2.0,-0.01,2.0,2.623,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2341.7,2.0,2424.2,2.0,7.5657,2.0,,0.049,2.0,0.002,-235.4,2.0,1.7,,9.0,1.49173,2.0,0.47,0.14,0.01,0.017,,9.0,,,9.0,,1.1999,27.7722,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
16,,1.0,3500.4,2053,49NZ20070724,        P01,11.0,,2.0,,9.0,20070822.0,1749.0,46.9965,-151.9977,5131,2.0,1.5077,2.0,34.6715,2.0,34.6715,2.0,128.05,2.0,127.97,2.0,161.56,2.0,37.66,2.0,-0.01,2.0,2.651,2.0,,9.0,,9.0,,9.0,2345.9,2.0,2424.1,2.0,7.5514,2.0,,0.009,2.0,0.003,-238.8,2.0,1.6,,9.0,1.5077,2.0,0.47,0.14,0.01,0.017,,9.0,,,9.0,,1.2414,27.765,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
17,2.0,1.0,100.0,18,49NZ20070724,        P01,16.0,,9.0,16.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,1.7534,2.0,33.1855,2.0,,9.0,279.04,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.75327,2.0,,,,,,9.0,,,9.0,,1.7486,26.5365,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
18,2.0,1.0,149.5,12,49NZ20070724,        P01,33.0,,2.0,33.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,1.9101,2.0,33.3164,2.0,33.3239,2.0,241.69,2.0,243.66,2.0,59.92,2.0,28.58,2.0,0.14,2.0,2.27,2.0,4.42,6.0,2.312,6.0,0.324,6.0,2199.3,2.0,2265.4,2.0,7.5497,6.0,25.0,,9.0,,,9.0,,,9.0,1.91016,2.0,0.25,0.11,0.01,0.016,,9.0,,,9.0,,1.9026,26.6302,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
19,,1.0,4749.7,2058,49NZ20070724,        P01,6.0,,2.0,,9.0,20070822.0,1749.0,46.9965,-151.9977,5131,2.0,1.5381,2.0,34.6864,2.0,34.6865,2.0,144.5,2.0,144.5,2.0,164.43,2.0,36.7,2.0,0.0,2.0,2.567,2.0,,9.0,,9.0,,9.0,2339.3,2.0,2429.8,2.0,7.5894,4.0,,0.057,3.0,0.002,-220.4,2.0,1.6,,9.0,1.53818,2.0,0.48,0.14,0.01,0.016,,9.0,,,9.0,,1.1327,27.7844,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
20,,1.0,4000.2,2055,49NZ20070724,        P01,9.0,,2.0,,9.0,20070822.0,1749.0,46.9965,-151.9977,5131,2.0,1.4872,2.0,34.6811,2.0,34.6812,6.0,139.5,2.0,139.47,2.0,161.07,2.0,37.02,2.0,0.0,2.0,2.595,2.0,,9.0,,9.0,,9.0,2340.1,2.0,2426.4,2.0,7.5759,2.0,,-0.031,3.0,0.007,-228.4,2.0,1.6,,9.0,1.48735,2.0,0.47,0.14,0.01,0.016,,9.0,,,9.0,,1.1687,27.7777,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
21,,1.0,5000.5,2059,49NZ20070724,        P01,5.0,,2.0,,9.0,20070822.0,1749.0,46.9965,-151.9977,5131,2.0,1.5633,2.0,34.6873,2.0,34.6867,2.0,145.29,2.0,145.49,2.0,165.01,2.0,36.65,2.0,0.0,2.0,2.56,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2337.4,2.0,2429.4,2.0,7.5918,2.0,,0.107,2.0,0.004,-221.1,2.0,1.6,,9.0,1.56344,2.0,0.48,0.14,0.01,0.016,,9.0,,,9.0,,1.1269,27.7855,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
22,2.0,1.0,149.7,19,49NZ20070724,        P01,15.0,,9.0,15.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,1.9109,2.0,33.3146,2.0,,9.0,241.89,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.91057,2.0,,,,,,9.0,,,9.0,,1.9034,26.6287,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
23,2.0,1.0,199.5,13,49NZ20070724,        P01,32.0,,2.0,32.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,1.9843,2.0,33.4135,2.0,33.4138,2.0,209.18,2.0,212.16,2.0,68.31,2.0,31.66,2.0,0.12,2.0,2.459,2.0,4.032,2.0,2.101,2.0,0.296,2.0,2222.0,2.0,2270.7,2.0,7.5037,2.0,25.0,,9.0,,,9.0,,,9.0,1.98654,2.0,0.27,0.12,0.01,0.016,,9.0,,,9.0,,1.9741,26.7026,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
24,2.0,1.0,199.5,20,49NZ20070724,        P01,14.0,,9.0,14.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,1.9832,2.0,33.4132,2.0,,9.0,209.28,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,1.98447,2.0,,,,,,9.0,,,9.0,,1.973,26.7024,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
25,2.0,1.0,249.8,14,49NZ20070724,        P01,31.0,,2.0,31.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,2.0969,2.0,33.4735,2.0,33.4797,2.0,191.73,2.0,193.78,2.0,73.2,2.0,33.14,2.0,0.12,2.0,2.544,2.0,3.828,2.0,1.989,2.0,0.278,2.0,2233.9,2.0,2276.0,2.0,7.4788,2.0,25.0,,9.0,,,9.0,,,9.0,2.09646,2.0,0.28,0.13,0.01,0.016,,9.0,,,9.0,,2.0837,26.7423,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
26,2.0,1.0,249.9,21,49NZ20070724,        P01,13.0,,9.0,13.0,2.0,20070726.0,1120.0,42.8893,145.5183,354,2.0,2.0952,2.0,33.4724,2.0,,9.0,192.4,2.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,2.09507,2.0,,,,,,9.0,,,9.0,,2.082,26.7416,,,,,,['P01'],2007-07-24,2007-09-03,JAMSTEC,
